sn,NP,bacteria,strain,NP_synthesis,drug,drug_dose_µg_disk,NP_concentration_µg_ml,NP_size_min_nm,NP_size_max_nm,NP_size_avg_nm,shape,method,ZOI_drug_mm_or_MIC _µg_ml,error_ZOI_drug_mm_or_MIC_µg_ml,ZOI_NP_mm_or_MIC_np_µg_ml,error_ZOI_NP_mm_or_MIC_np_µg_ml,ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,error_ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,fold_increase_in_antibacterial_activity,zeta_potential_mV,MDR,FIC,effect,reference,doi,article_list,time_hr,coating_with_antimicrobial_peptide_polymers,combined_MIC,peptide_MIC,viability_%,viability_error,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access,pdf_file,pdf_downloaded
382,Ag,Bacillus cereus,13061,green_synthesis using extract of corn leaves,,,,31,69.0,45.26,spherical,MBC,,,50.0,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1,data/pdfs/pdf_synergy/12_patra2017.pdf,True
383,Ag,Escherichia coli,43890,green_synthesis using extract of corn leaves,,,,31,69.0,45.26,spherical,MBC,,,100.0,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1,data/pdfs/pdf_synergy/12_patra2017.pdf,True
384,Ag,Listeria monocytogenes,19115,green_synthesis using extract of corn leaves,,,,31,69.0,45.26,spherical,MBC,,,50.0,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1,data/pdfs/pdf_synergy/12_patra2017.pdf,True
385,Ag,Staphylococcus aureus,49444,green_synthesis using extract of corn leaves,,,,31,69.0,45.26,spherical,MBC,,,25.0,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1,data/pdfs/pdf_synergy/12_patra2017.pdf,True
386,Ag,Salmonella typhimurium,43174,green_synthesis using extract of corn leaves,,,,31,69.0,45.26,spherical,MBC,,,100.0,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1,data/pdfs/pdf_synergy/12_patra2017.pdf,True
387,Ag,Bacillus cereus,13061,green_synthesis using extract of corn leaves,Kanamycin,5.0,25.0,31,69.0,45.26,spherical,disc_diffusion,,,,,11.67,0.16,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1,data/pdfs/pdf_synergy/12_patra2017.pdf,True
388,Ag,Escherichia coli,43890,green_synthesis using extract of corn leaves,Kanamycin,5.0,25.0,31,69.0,45.26,spherical,disc_diffusion,,,,,12.45,2.02,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1,data/pdfs/pdf_synergy/12_patra2017.pdf,True
389,Ag,Listeria monocytogenes,19115,green_synthesis using extract of corn leaves,Kanamycin,5.0,25.0,31,69.0,45.26,spherical,disc_diffusion,,,,,10.62,0.29,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1,data/pdfs/pdf_synergy/12_patra2017.pdf,True
390,Ag,Staphylococcus aureus,49444,green_synthesis using extract of corn leaves,Kanamycin,5.0,25.0,31,69.0,45.26,spherical,disc_diffusion,,,,,12.57,0.2,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1,data/pdfs/pdf_synergy/12_patra2017.pdf,True
391,Ag,Salmonella typhimurium,43174,green_synthesis using extract of corn leaves,Kanamycin,5.0,25.0,31,69.0,45.26,spherical,disc_diffusion,,,,,12.8,0.31,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1,data/pdfs/pdf_synergy/12_patra2017.pdf,True
392,Ag,Bacillus cereus,13061,green_synthesis using extract of corn leaves,Rifampicin,5.0,25.0,31,69.0,45.26,spherical,disc_diffusion,,,,,12.76,0.44,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1,data/pdfs/pdf_synergy/12_patra2017.pdf,True
393,Ag,Escherichia coli,43890,green_synthesis using extract of corn leaves,Rifampicin,5.0,25.0,31,69.0,45.26,spherical,disc_diffusion,,,,,11.43,0.21,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1,data/pdfs/pdf_synergy/12_patra2017.pdf,True
394,Ag,Listeria monocytogenes,19115,green_synthesis using extract of corn leaves,Rifampicin,5.0,25.0,31,69.0,45.26,spherical,disc_diffusion,,,,,11.64,0.23,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1,data/pdfs/pdf_synergy/12_patra2017.pdf,True
395,Ag,Staphylococcus aureus,49444,green_synthesis using extract of corn leaves,Rifampicin,5.0,25.0,31,69.0,45.26,spherical,disc_diffusion,,,,,14.33,0.4,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1,data/pdfs/pdf_synergy/12_patra2017.pdf,True
396,Ag,Salmonella typhimurium,43174,green_synthesis using extract of corn leaves,Rifampicin,5.0,25.0,31,69.0,45.26,spherical,disc_diffusion,,,,,11.45,0.19,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1,data/pdfs/pdf_synergy/12_patra2017.pdf,True
397,Ag,Candida albicans,KACC 30003,green_synthesis using extract of corn leaves,Amphotericin B,5.0,50.0,31,69.0,45.26,spherical,disc_diffusion,,,,,10.34,0.29,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1,data/pdfs/pdf_synergy/12_patra2017.pdf,True
398,Ag,Candida albicans,KACC 30062,green_synthesis using extract of corn leaves,Amphotericin B,5.0,50.0,31,69.0,45.26,spherical,disc_diffusion,,,,,12.88,0.15,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1,data/pdfs/pdf_synergy/12_patra2017.pdf,True
399,Ag,Candida glabrata,KBNO6P00368,green_synthesis using extract of corn leaves,Amphotericin B,5.0,50.0,31,69.0,45.26,spherical,disc_diffusion,,,,,10.98,0.71,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1,data/pdfs/pdf_synergy/12_patra2017.pdf,True
400,Ag,Starmerella geochares,KACC 30061,green_synthesis using extract of corn leaves,Amphotericin B,5.0,50.0,31,69.0,45.26,spherical,disc_diffusion,,,,,14.75,0.3,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1,data/pdfs/pdf_synergy/12_patra2017.pdf,True
401,Ag,Candida saitoana,KACC 41238,green_synthesis using extract of corn leaves,Amphotericin B,5.0,50.0,31,69.0,45.26,spherical,disc_diffusion,,,,,9.74,0.14,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1,data/pdfs/pdf_synergy/12_patra2017.pdf,True
426,Ag,Staphylococcus aureus,SG511,AgNPs synthesis using photo reduction method,,,,,,,,,,,,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2021.750556/full,10.3389/fmicb.2021.750556,14,,NP with gelatin,12.0,,,,Frontiers in Microbiology,Frontiers Media SA,2021,Silver Nanoparticles Functionalized With Antimicrobial Polypeptides: Benefits and Possible Pitfalls of a Novel Anti-infective Tool,True,True,gold,14_fmicb-12-750556.pdf,1,data/pdfs/pdf_synergy/14_fmicb-12-750556.pdf,True
427,Ag,Staphylococcus aureus,SG511,AgNPs synthesis using photo reduction method,,,,,,,,,,,,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2021.750556/full,10.3389/fmicb.2021.750556,14,,AMP Protegrin -1,6.0,,,,Frontiers in Microbiology,Frontiers Media SA,2021,Silver Nanoparticles Functionalized With Antimicrobial Polypeptides: Benefits and Possible Pitfalls of a Novel Anti-infective Tool,True,True,gold,14_fmicb-12-750556.pdf,1,data/pdfs/pdf_synergy/14_fmicb-12-750556.pdf,True
428,Ag,Staphylococcus aureus,SG511,AgNPs synthesis using photo reduction method,,,,,,,,,,,,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2021.750556/full,10.3389/fmicb.2021.750556,14,,AMP Indolicidin bovine,6.0,,,,Frontiers in Microbiology,Frontiers Media SA,2021,Silver Nanoparticles Functionalized With Antimicrobial Polypeptides: Benefits and Possible Pitfalls of a Novel Anti-infective Tool,True,True,gold,14_fmicb-12-750556.pdf,1,data/pdfs/pdf_synergy/14_fmicb-12-750556.pdf,True
429,Ag,Staphylococcus aureus,SG511,AgNPs synthesis using photo reduction method,,,,,,,,,,,,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2021.750556/full,10.3389/fmicb.2021.750556,14,,AP Protamine salmon,6.0,,,,Frontiers in Microbiology,Frontiers Media SA,2021,Silver Nanoparticles Functionalized With Antimicrobial Polypeptides: Benefits and Possible Pitfalls of a Novel Anti-infective Tool,True,True,gold,14_fmicb-12-750556.pdf,1,data/pdfs/pdf_synergy/14_fmicb-12-750556.pdf,True
430,Ag,Staphylococcus aureus,SG511,AgNPs synthesis using photo reduction method,,,,,,,,,,,,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2021.750556/full,10.3389/fmicb.2021.750556,14,,AP Histones calf thymus,12.0,,,,Frontiers in Microbiology,Frontiers Media SA,2021,Silver Nanoparticles Functionalized With Antimicrobial Polypeptides: Benefits and Possible Pitfalls of a Novel Anti-infective Tool,True,True,gold,14_fmicb-12-750556.pdf,1,data/pdfs/pdf_synergy/14_fmicb-12-750556.pdf,True
431,Ag,Staphylococcus aureus,SG511,AgNPs synthesis using photo reduction method,,,,,,,,,,,,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2021.750556/full,10.3389/fmicb.2021.750556,14,,AP Lysozyme hen egg-white,6.0,,,,Frontiers in Microbiology,Frontiers Media SA,2021,Silver Nanoparticles Functionalized With Antimicrobial Polypeptides: Benefits and Possible Pitfalls of a Novel Anti-infective Tool,True,True,gold,14_fmicb-12-750556.pdf,1,data/pdfs/pdf_synergy/14_fmicb-12-750556.pdf,True
432,Ag,Staphylococcus aureus,25923,AgNPs synthesis using photo reduction method,,,,,,,,,,,,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2021.750556/full,10.3389/fmicb.2021.750556,14,,NP with gelatin,12.0,,,,Frontiers in Microbiology,Frontiers Media SA,2021,Silver Nanoparticles Functionalized With Antimicrobial Polypeptides: Benefits and Possible Pitfalls of a Novel Anti-infective Tool,True,True,gold,14_fmicb-12-750556.pdf,1,data/pdfs/pdf_synergy/14_fmicb-12-750556.pdf,True
433,Ag,Staphylococcus aureus,25923,AgNPs synthesis using photo reduction method,,,,,,,,,,,,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2021.750556/full,10.3389/fmicb.2021.750556,14,,AMP Protegrin -1,6.0,10.0,,,Frontiers in Microbiology,Frontiers Media SA,2021,Silver Nanoparticles Functionalized With Antimicrobial Polypeptides: Benefits and Possible Pitfalls of a Novel Anti-infective Tool,True,True,gold,14_fmicb-12-750556.pdf,1,data/pdfs/pdf_synergy/14_fmicb-12-750556.pdf,True
434,Ag,Staphylococcus aureus,25923,AgNPs synthesis using photo reduction method,,,,,,,,,,,,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2021.750556/full,10.3389/fmicb.2021.750556,14,,AMP Indolicidin bovine,12.0,40.0,,,Frontiers in Microbiology,Frontiers Media SA,2021,Silver Nanoparticles Functionalized With Antimicrobial Polypeptides: Benefits and Possible Pitfalls of a Novel Anti-infective Tool,True,True,gold,14_fmicb-12-750556.pdf,1,data/pdfs/pdf_synergy/14_fmicb-12-750556.pdf,True
435,Ag,Staphylococcus aureus,25923,AgNPs synthesis using photo reduction method,,,,,,,,,,,,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2021.750556/full,10.3389/fmicb.2021.750556,14,,AP Protamine salmon,6.0,40.0,,,Frontiers in Microbiology,Frontiers Media SA,2021,Silver Nanoparticles Functionalized With Antimicrobial Polypeptides: Benefits and Possible Pitfalls of a Novel Anti-infective Tool,True,True,gold,14_fmicb-12-750556.pdf,1,data/pdfs/pdf_synergy/14_fmicb-12-750556.pdf,True
436,Ag,Staphylococcus aureus,25923,AgNPs synthesis using photo reduction method,,,,,,,,,,,,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2021.750556/full,10.3389/fmicb.2021.750556,14,,AP Histones calf thymus,24.0,300.0,,,Frontiers in Microbiology,Frontiers Media SA,2021,Silver Nanoparticles Functionalized With Antimicrobial Polypeptides: Benefits and Possible Pitfalls of a Novel Anti-infective Tool,True,True,gold,14_fmicb-12-750556.pdf,1,data/pdfs/pdf_synergy/14_fmicb-12-750556.pdf,True
437,Ag,Staphylococcus aureus,25923,AgNPs synthesis using photo reduction method,,,,,,,,,,,,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2021.750556/full,10.3389/fmicb.2021.750556,14,,AP Lysozyme hen egg-white,12.0,400.0,,,Frontiers in Microbiology,Frontiers Media SA,2021,Silver Nanoparticles Functionalized With Antimicrobial Polypeptides: Benefits and Possible Pitfalls of a Novel Anti-infective Tool,True,True,gold,14_fmicb-12-750556.pdf,1,data/pdfs/pdf_synergy/14_fmicb-12-750556.pdf,True
438,Ag,Staphylococcus aureus,1399,AgNPs synthesis using photo reduction method,,,,,,,,,,,,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2021.750556/full,10.3389/fmicb.2021.750556,14,,NP with gelatin,48.0,,,,Frontiers in Microbiology,Frontiers Media SA,2021,Silver Nanoparticles Functionalized With Antimicrobial Polypeptides: Benefits and Possible Pitfalls of a Novel Anti-infective Tool,True,True,gold,14_fmicb-12-750556.pdf,1,data/pdfs/pdf_synergy/14_fmicb-12-750556.pdf,True
439,Ag,Staphylococcus aureus,1399,AgNPs synthesis using photo reduction method,,,,,,,,,,,,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2021.750556/full,10.3389/fmicb.2021.750556,14,,AMP Protegrin -1,6.0,5.0,,,Frontiers in Microbiology,Frontiers Media SA,2021,Silver Nanoparticles Functionalized With Antimicrobial Polypeptides: Benefits and Possible Pitfalls of a Novel Anti-infective Tool,True,True,gold,14_fmicb-12-750556.pdf,1,data/pdfs/pdf_synergy/14_fmicb-12-750556.pdf,True
440,Ag,Staphylococcus aureus,1399,AgNPs synthesis using photo reduction method,,,,,,,,,,,,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2021.750556/full,10.3389/fmicb.2021.750556,14,,AMP Indolicidin bovine,12.0,40.0,,,Frontiers in Microbiology,Frontiers Media SA,2021,Silver Nanoparticles Functionalized With Antimicrobial Polypeptides: Benefits and Possible Pitfalls of a Novel Anti-infective Tool,True,True,gold,14_fmicb-12-750556.pdf,1,data/pdfs/pdf_synergy/14_fmicb-12-750556.pdf,True
441,Ag,Staphylococcus aureus,1399,AgNPs synthesis using photo reduction method,,,,,,,,,,,,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2021.750556/full,10.3389/fmicb.2021.750556,14,,AP Protamine salmon,24.0,20.0,,,Frontiers in Microbiology,Frontiers Media SA,2021,Silver Nanoparticles Functionalized With Antimicrobial Polypeptides: Benefits and Possible Pitfalls of a Novel Anti-infective Tool,True,True,gold,14_fmicb-12-750556.pdf,1,data/pdfs/pdf_synergy/14_fmicb-12-750556.pdf,True
