formula,activity,syngony,length,width,depth,surface,km_value,km_unit,vmax_value,vmax_unit,target_source,reaction_type,c_min,c_max,c_const,c_const_unit,ccat_value,ccat_unit,ph,temperature,doi,pdf,access,title,journal,year,pdf_file,pdf_downloaded
ZnFe2O4,peroxidase,,200,200,200,,1.66,mM,7.74,10−8 M·s−1,text,H2O2 + TMB,,,320.0,μM,40.0,μg mL-1,4.5,40.0,10.1021/ac300939z,AC300939Z,0,Colorimetric Detection of Urine Glucose Based ZnFe<sub>2</sub>O<sub>4</sub> Magnetic Nanoparticles,Analytical Chemistry,2012,data/pdfs/pdf_nanozymes/AC300939Z.pdf,False
Pt,peroxidase,cubic,2.5,2.5,2.5,citrate,0.1206,mM,6.51e-05,mM·s−1,text,TMB + H2O2,,,,,,,,,10.1021/ac503544w,AC503544W,0,Citrate-Capped Platinum Nanoparticle as a Smart Probe for Ultrasensitive Mercury Sensing,Analytical Chemistry,2014,data/pdfs/pdf_nanozymes/AC503544W.pdf,False
Pt,peroxidase,cubic,2.5,2.5,2.5,citrate,205.6,mM,9.79e-05,mM·s−1,text,H2O2 + TMB,,,,,,,,,10.1021/ac503544w,AC503544W,0,Citrate-Capped Platinum Nanoparticle as a Smart Probe for Ultrasensitive Mercury Sensing,Analytical Chemistry,2014,data/pdfs/pdf_nanozymes/AC503544W.pdf,False
Pt + Hg2+,peroxidase,cubic,2.5,2.5,2.5,citrate,0.1337,mM,3.85e-05,mM·s−1,text,TMB + H2O2,,,,,,,,,10.1021/ac503544w,AC503544W,0,Citrate-Capped Platinum Nanoparticle as a Smart Probe for Ultrasensitive Mercury Sensing,Analytical Chemistry,2014,data/pdfs/pdf_nanozymes/AC503544W.pdf,False
Pt + Hg2+,peroxidase,cubic,2.5,2.5,2.5,citrate,221.9,mM,2.69e-05,mM·s−1,text,H2O2 + TMB,,,,,,,,,10.1021/ac503544w,AC503544W,0,Citrate-Capped Platinum Nanoparticle as a Smart Probe for Ultrasensitive Mercury Sensing,Analytical Chemistry,2014,data/pdfs/pdf_nanozymes/AC503544W.pdf,False
Pt + Hg2+,peroxidase,cubic,2.5,2.5,2.5,citrate,0.257,mM,3.72e-05,mM·s−1,text,TMB + H2O2,,,,,,,,,10.1021/ac503544w,AC503544W,0,Citrate-Capped Platinum Nanoparticle as a Smart Probe for Ultrasensitive Mercury Sensing,Analytical Chemistry,2014,data/pdfs/pdf_nanozymes/AC503544W.pdf,False
Pt + Hg2+,peroxidase,cubic,2.5,2.5,2.5,citrate,295.0,mM,2.23e-05,mM·s−1,text,H2O2 + TMB,,,,,,,,,10.1021/ac503544w,AC503544W,0,Citrate-Capped Platinum Nanoparticle as a Smart Probe for Ultrasensitive Mercury Sensing,Analytical Chemistry,2014,data/pdfs/pdf_nanozymes/AC503544W.pdf,False
Pt-Ni,oxidase,cubic,6.2,6.2,6.2,,0.021,mM,0.000306,μM/min,text,TMB,0.0,0.6,,,5.0,μg/mL,4.5,25.0,10.1021/acs.analchem.2c05425,ACS.ANALCHEM.2C05425,0,Platinumâ€“Nickel Nanoparticles with Enhanced Oxidase-like Activity for Total Antioxidant Capacity Bioassay,Analytical Chemistry,2023,data/pdfs/pdf_nanozymes/ACS.ANALCHEM.2C05425.pdf,False
Pt,oxidase,cubic,,,,,28.54,μM,14.06,10-8 M s-1,si,TMB,0.0,0.6,,,5.0,μg/mL,4.5,25.0,10.1021/acs.analchem.2c05425,ACS.ANALCHEM.2C05425,0,Platinumâ€“Nickel Nanoparticles with Enhanced Oxidase-like Activity for Total Antioxidant Capacity Bioassay,Analytical Chemistry,2023,data/pdfs/pdf_nanozymes/ACS.ANALCHEM.2C05425.pdf,False
PtNi0.33,oxidase,cubic,,,,,54.05,μM,19.56,10-8 M s-1,si,TMB,0.0,0.6,,,5.0,μg/mL,4.5,25.0,10.1021/acs.analchem.2c05425,ACS.ANALCHEM.2C05425,0,Platinumâ€“Nickel Nanoparticles with Enhanced Oxidase-like Activity for Total Antioxidant Capacity Bioassay,Analytical Chemistry,2023,data/pdfs/pdf_nanozymes/ACS.ANALCHEM.2C05425.pdf,False
PtNi1,oxidase,cubic,,,,,21.34,μM,30.59,10-8 M s-1,si,TMB,0.0,0.6,,,5.0,μg/mL,4.5,25.0,10.1021/acs.analchem.2c05425,ACS.ANALCHEM.2C05425,0,Platinumâ€“Nickel Nanoparticles with Enhanced Oxidase-like Activity for Total Antioxidant Capacity Bioassay,Analytical Chemistry,2023,data/pdfs/pdf_nanozymes/ACS.ANALCHEM.2C05425.pdf,False
PtNi1,oxidase,cubic,,,,,22.26,μM,7.88,10-8 M s-1,si,TMB,0.0,0.6,,,5.0,μg/mL,4.5,25.0,10.1021/acs.analchem.2c05425,ACS.ANALCHEM.2C05425,0,Platinumâ€“Nickel Nanoparticles with Enhanced Oxidase-like Activity for Total Antioxidant Capacity Bioassay,Analytical Chemistry,2023,data/pdfs/pdf_nanozymes/ACS.ANALCHEM.2C05425.pdf,False
TiO2,oxidase,tetragonal,3-5,3-5,3-5,catechol,107.0,μM,156.5,nM S−1 ,text,TMB,,,,,,,4.0,30.0,10.1021/acs.analchem.5b02728,ACS.ANALCHEM.5B02728,0,Versatile and Amplified Biosensing through Enzymatic Cascade Reaction by Coupling Alkaline Phosphatase <i>in Situ</i> Generation of Photoresponsive Nanozyme,Analytical Chemistry,2015,data/pdfs/pdf_nanozymes/ACS.ANALCHEM.5B02728.pdf,False
Au0.02/Fe2O3,peroxidase,,,,,,0.0429,mM,5.882,10-8 M s-1,si,TMB + H2O2,0.01,1.0,700.0,mM,5.0,μg,3.5,25.0,10.1021/acs.analchem.7b02880,ACS.ANALCHEM.7B02880,1,Gold-Loaded Nanoporous Ferric Oxide Nanocubes with Peroxidase-Mimicking Activity for Electrocatalytic and Colorimetric Detection of Autoantibody,Analytical Chemistry,2017,data/pdfs/pdf_nanozymes/ACS.ANALCHEM.7B02880.pdf,False
Au0.02/Fe2O3,peroxidase,,,,,,138.5,mM,4.77,10-8 M s-1,si,H2O2 + TMB,10.0,1100.0,800.0,μM,5.0,μg,3.5,25.0,10.1021/acs.analchem.7b02880,ACS.ANALCHEM.7B02880,1,Gold-Loaded Nanoporous Ferric Oxide Nanocubes with Peroxidase-Mimicking Activity for Electrocatalytic and Colorimetric Detection of Autoantibody,Analytical Chemistry,2017,data/pdfs/pdf_nanozymes/ACS.ANALCHEM.7B02880.pdf,False
Fe3O4,peroxidase,,500,500,500,,0.26,mM,3.51,10-9 M s-1,si,TMB + H2O2,0.0,0.8,,,50.0,μg/mL,4.0,,10.1021/acs.analchem.9b04116,ACS.ANALCHEM.9B04116,0,Fe<sub>3</sub>O<sub>4</sub> Nanozymes with Aptamer-Tuned Catalysis for Selective Colorimetric Analysis of ATP in Blood,Analytical Chemistry,2019,data/pdfs/pdf_nanozymes/ACS.ANALCHEM.9B04116.pdf,False
Fe3O4,peroxidase,,500,500,500,,6.66,mM,1.29,10-9 M s-1,si,H2O2 + TMB,0.0,200.0,,,50.0,μg/mL,4.0,,10.1021/acs.analchem.9b04116,ACS.ANALCHEM.9B04116,0,Fe<sub>3</sub>O<sub>4</sub> Nanozymes with Aptamer-Tuned Catalysis for Selective Colorimetric Analysis of ATP in Blood,Analytical Chemistry,2019,data/pdfs/pdf_nanozymes/ACS.ANALCHEM.9B04116.pdf,False
Fe3O4,peroxidase,,500,500,500,Adenosine triphosphate,0.088,mM,4.06,10-9 M s-1,si,TMB + H2O2,0.0,0.8,,,50.0,μg/mL,4.0,,10.1021/acs.analchem.9b04116,ACS.ANALCHEM.9B04116,0,Fe<sub>3</sub>O<sub>4</sub> Nanozymes with Aptamer-Tuned Catalysis for Selective Colorimetric Analysis of ATP in Blood,Analytical Chemistry,2019,data/pdfs/pdf_nanozymes/ACS.ANALCHEM.9B04116.pdf,False
Fe3O4,peroxidase,,500,500,500,Adenosine triphosphate,30.24,mM,3.42,10-9 M s-1,si,H2O2 + TMB,0.0,200.0,,,50.0,μg/mL,4.0,,10.1021/acs.analchem.9b04116,ACS.ANALCHEM.9B04116,0,Fe<sub>3</sub>O<sub>4</sub> Nanozymes with Aptamer-Tuned Catalysis for Selective Colorimetric Analysis of ATP in Blood,Analytical Chemistry,2019,data/pdfs/pdf_nanozymes/ACS.ANALCHEM.9B04116.pdf,False
Pd@Fe2O3,peroxidase,,,,,catechol-PEG,0.049,mM,1.02e-07,Ms-1,text,ABTS + H2O2,0.01,0.5,0.2,mM,1.8,μg/mL,3.62,37.0,10.1021/acs.chemmater.6b04283,ACS.CHEMMATER.6B04283,0,Pd@Fe<sub>2</sub>O<sub>3</sub> Superparticles with Enhanced Peroxidase Activity by Solution Phase Epitaxial Growth,Chemistry of Materials,2017,data/pdfs/pdf_nanozymes/ACS.CHEMMATER.6B04283.pdf,False
Pd@Fe2O3,peroxidase,,,,,catechol-PEG,0.254,mM,1.28e-07,Ms-1,text,H2O2 + ABTS,0.01,0.5,0.15,mM,1.8,μg/mL,3.62,37.0,10.1021/acs.chemmater.6b04283,ACS.CHEMMATER.6B04283,0,Pd@Fe<sub>2</sub>O<sub>3</sub> Superparticles with Enhanced Peroxidase Activity by Solution Phase Epitaxial Growth,Chemistry of Materials,2017,data/pdfs/pdf_nanozymes/ACS.CHEMMATER.6B04283.pdf,False
Pd@Fe2O3,peroxidase,,,,,catechol-PEG,0.1,mM,1.7e-07,Ms-1,figure s15,TMB + H2O2,0.0,0.25,25.0,mM,3.0,μg/mL,3.62,37.0,10.1021/acs.chemmater.6b04283,ACS.CHEMMATER.6B04283,0,Pd@Fe<sub>2</sub>O<sub>3</sub> Superparticles with Enhanced Peroxidase Activity by Solution Phase Epitaxial Growth,Chemistry of Materials,2017,data/pdfs/pdf_nanozymes/ACS.CHEMMATER.6B04283.pdf,False
V6O13,peroxidase,monoclinic,,,,,0.153,mM,2.99,10-8 M s-1,si,TMB + H2O2,0.08,0.2,0.6,mM,0.5,mg mL−1,4.5,30.0,10.1021/acs.iecr.7b04821,ACS.IECR.7B04821,0,Intrinsic Triple-Enzyme Mimetic Activity of V<sub>6</sub>O<sub>13</sub> Nanotextiles: Mechanism Investigation and Colorimetric and Fluorescent Detections,Industrial &amp; Engineering Chemistry Research,2018,data/pdfs/pdf_nanozymes/ACS.IECR.7B04821.pdf,False
V6O13,peroxidase,monoclinic,,,,,1.51,mM,3.12,10-8 M s-1,si,H2O2 + TMB,0.0,3.5,0.3,mM,0.5,mg mL−1,4.5,30.0,10.1021/acs.iecr.7b04821,ACS.IECR.7B04821,0,Intrinsic Triple-Enzyme Mimetic Activity of V<sub>6</sub>O<sub>13</sub> Nanotextiles: Mechanism Investigation and Colorimetric and Fluorescent Detections,Industrial &amp; Engineering Chemistry Research,2018,data/pdfs/pdf_nanozymes/ACS.IECR.7B04821.pdf,False
Fe0.15-CoO,peroxidase,,,,,,0.17,mM,5.09e-07,M s−1,text,TMB + H2O2,0.01,0.1,20.0,mM,0.3,,5.0,37.0,10.1021/acs.inorgchem.0c03355,ACS.INORGCHEM.0C03355,0,Magnetic Flower-like Fe-Doped CoO Nanocomposites with Dual Enzyme-like Activities for Facile and Sensitive Determination of H<sub>2</sub>O<sub>2</sub> and Dopamine,Inorganic Chemistry,2021,data/pdfs/pdf_nanozymes/ACS.INORGCHEM.0C03355.pdf,False
Fe0.15-CoO,peroxidase,,,,,,11.2,mM,2.41e-07,M s−1,text,H2O2 + TMB,2.0,20.0,0.1,mM,0.3,,5.0,37.0,10.1021/acs.inorgchem.0c03355,ACS.INORGCHEM.0C03355,0,Magnetic Flower-like Fe-Doped CoO Nanocomposites with Dual Enzyme-like Activities for Facile and Sensitive Determination of H<sub>2</sub>O<sub>2</sub> and Dopamine,Inorganic Chemistry,2021,data/pdfs/pdf_nanozymes/ACS.INORGCHEM.0C03355.pdf,False
Co3O4,peroxidase,cubic,,,,,0.12,mM,1.14,10-8 s-1,text,TMB + H2O2,0.04,0.12,,,,,5.0,25.0,10.1021/acs.inorgchem.9b03512,ACS.INORGCHEM.9B03512,0,Oxygen-Vacancy-Enhanced Peroxidase-like Activity of Reduced Co<sub>3</sub>O<sub>4</sub> Nanocomposites for the Colorimetric Detection of H<sub>2</sub>O<sub>2</sub> and Glucose,Inorganic Chemistry,2020,data/pdfs/pdf_nanozymes/ACS.INORGCHEM.9B03512.pdf,False
Co3O4,peroxidase,cubic,,,,,3.43,mM,1.03,10-8 s-1,text,H2O2 + TMB,2.0,12.0,,,,,5.0,25.0,10.1021/acs.inorgchem.9b03512,ACS.INORGCHEM.9B03512,0,Oxygen-Vacancy-Enhanced Peroxidase-like Activity of Reduced Co<sub>3</sub>O<sub>4</sub> Nanocomposites for the Colorimetric Detection of H<sub>2</sub>O<sub>2</sub> and Glucose,Inorganic Chemistry,2020,data/pdfs/pdf_nanozymes/ACS.INORGCHEM.9B03512.pdf,False
Co3O4,peroxidase,cubic,,,,,0.07,mM,15.8,10-8 s-1,text,TMB + H2O2,0.04,0.12,,,,,5.0,25.0,10.1021/acs.inorgchem.9b03512,ACS.INORGCHEM.9B03512,0,Oxygen-Vacancy-Enhanced Peroxidase-like Activity of Reduced Co<sub>3</sub>O<sub>4</sub> Nanocomposites for the Colorimetric Detection of H<sub>2</sub>O<sub>2</sub> and Glucose,Inorganic Chemistry,2020,data/pdfs/pdf_nanozymes/ACS.INORGCHEM.9B03512.pdf,False
Co3O4,peroxidase,cubic,,,,,0.74,mM,10.13,10-8 s-1,text,H2O2 + TMB,2.0,12.0,,,,,5.0,25.0,10.1021/acs.inorgchem.9b03512,ACS.INORGCHEM.9B03512,0,Oxygen-Vacancy-Enhanced Peroxidase-like Activity of Reduced Co<sub>3</sub>O<sub>4</sub> Nanocomposites for the Colorimetric Detection of H<sub>2</sub>O<sub>2</sub> and Glucose,Inorganic Chemistry,2020,data/pdfs/pdf_nanozymes/ACS.INORGCHEM.9B03512.pdf,False
Fe0.8Ni0.2S2,peroxidase,,,,,,0.221,mM,2.19,10−7 M s−1,text,TMB + H2O2,0.0,5.0,,,50.0,μg/mL,4.0,25.0,10.1021/acs.jpcc.1c10325,ACS.JPCC.1C10325,0,Improvement of Fe<sub>0.8</sub>Ni<sub>0.2</sub>S<sub>2</sub> Peroxidase-like Activity through the Accelerated Conversion from Fe<sup>3+</sup> to Fe<sup>2+</sup>,The Journal of Physical Chemistry C,2022,data/pdfs/pdf_nanozymes/ACS.JPCC.1C10325.pdf,False
Fe0.8Ni0.2S2,peroxidase,,,,,,0.0192,mM,2.41,10−7 M s−1,text,H2O2 + TMB,0.0,1.2,,,50.0,μg/mL,4.0,25.0,10.1021/acs.jpcc.1c10325,ACS.JPCC.1C10325,0,Improvement of Fe<sub>0.8</sub>Ni<sub>0.2</sub>S<sub>2</sub> Peroxidase-like Activity through the Accelerated Conversion from Fe<sup>3+</sup> to Fe<sup>2+</sup>,The Journal of Physical Chemistry C,2022,data/pdfs/pdf_nanozymes/ACS.JPCC.1C10325.pdf,False
Fe0.6Ni0.4S2,peroxidase,,,,,,0.797,mM,1.72,10−7 M s−1,text,TMB + H2O2,0.0,5.0,,,50.0,μg/mL,4.0,25.0,10.1021/acs.jpcc.1c10325,ACS.JPCC.1C10325,0,Improvement of Fe<sub>0.8</sub>Ni<sub>0.2</sub>S<sub>2</sub> Peroxidase-like Activity through the Accelerated Conversion from Fe<sup>3+</sup> to Fe<sup>2+</sup>,The Journal of Physical Chemistry C,2022,data/pdfs/pdf_nanozymes/ACS.JPCC.1C10325.pdf,False
Fe0.6Ni0.4S2,peroxidase,,,,,,0.123,mM,1.72,10−7 M s−1,text,H2O2 + TMB,0.0,1.2,,,50.0,μg/mL,4.0,25.0,10.1021/acs.jpcc.1c10325,ACS.JPCC.1C10325,0,Improvement of Fe<sub>0.8</sub>Ni<sub>0.2</sub>S<sub>2</sub> Peroxidase-like Activity through the Accelerated Conversion from Fe<sup>3+</sup> to Fe<sup>2+</sup>,The Journal of Physical Chemistry C,2022,data/pdfs/pdf_nanozymes/ACS.JPCC.1C10325.pdf,False
Fe0.4Ni0.6S2,peroxidase,,,,,,0.916,mM,1.02,10−7 M s−1,text,TMB + H2O2,0.0,5.0,,,50.0,μg/mL,4.0,25.0,10.1021/acs.jpcc.1c10325,ACS.JPCC.1C10325,0,Improvement of Fe<sub>0.8</sub>Ni<sub>0.2</sub>S<sub>2</sub> Peroxidase-like Activity through the Accelerated Conversion from Fe<sup>3+</sup> to Fe<sup>2+</sup>,The Journal of Physical Chemistry C,2022,data/pdfs/pdf_nanozymes/ACS.JPCC.1C10325.pdf,False
Fe0.4Ni0.6S2,peroxidase,,,,,,0.252,mM,1.45,10−7 M s−1,text,H2O2 + TMB,0.0,1.2,,,50.0,μg/mL,4.0,25.0,10.1021/acs.jpcc.1c10325,ACS.JPCC.1C10325,0,Improvement of Fe<sub>0.8</sub>Ni<sub>0.2</sub>S<sub>2</sub> Peroxidase-like Activity through the Accelerated Conversion from Fe<sup>3+</sup> to Fe<sup>2+</sup>,The Journal of Physical Chemistry C,2022,data/pdfs/pdf_nanozymes/ACS.JPCC.1C10325.pdf,False
FeS2,peroxidase,,,,,,1.08,mM,4.78,10−7 M s−1,text,TMB + H2O2,0.0,5.0,,,50.0,μg/mL,4.0,25.0,10.1021/acs.jpcc.1c10325,ACS.JPCC.1C10325,0,Improvement of Fe<sub>0.8</sub>Ni<sub>0.2</sub>S<sub>2</sub> Peroxidase-like Activity through the Accelerated Conversion from Fe<sup>3+</sup> to Fe<sup>2+</sup>,The Journal of Physical Chemistry C,2022,data/pdfs/pdf_nanozymes/ACS.JPCC.1C10325.pdf,False
FeS2,peroxidase,,,,,,0.0907,mM,1.27,10−7 M s−1,text,H2O2 + TMB,0.0,1.2,,,50.0,μg/mL,4.0,25.0,10.1021/acs.jpcc.1c10325,ACS.JPCC.1C10325,0,Improvement of Fe<sub>0.8</sub>Ni<sub>0.2</sub>S<sub>2</sub> Peroxidase-like Activity through the Accelerated Conversion from Fe<sup>3+</sup> to Fe<sup>2+</sup>,The Journal of Physical Chemistry C,2022,data/pdfs/pdf_nanozymes/ACS.JPCC.1C10325.pdf,False
Pt,peroxidase,cubic,3.8,3.8,3.8,β-casein,0.052,mM,16.4,10−8 M s−1,si,TMB + H2O2,0.0,0.35,,,,,4.0,20.0,10.1021/acs.langmuir.7b03430,ACS.LANGMUIR.7B03430,0,"Switching Peroxidase-Mimic Activity of Protein Stabilized Platinum Nanozymes by Sulfide Ions: Substrate Dependence, Mechanism, and Detection",Langmuir,2017,data/pdfs/pdf_nanozymes/ACS.LANGMUIR.7B03430.pdf,False
Pt,peroxidase,cubic,3.8,3.8,3.8,β-casein,63.86,mM,29.0,10−8 M s−1,si,H2O2 + TMB,0.0,160.0,,,,,4.0,20.0,10.1021/acs.langmuir.7b03430,ACS.LANGMUIR.7B03430,0,"Switching Peroxidase-Mimic Activity of Protein Stabilized Platinum Nanozymes by Sulfide Ions: Substrate Dependence, Mechanism, and Detection",Langmuir,2017,data/pdfs/pdf_nanozymes/ACS.LANGMUIR.7B03430.pdf,False
FeS2@C,peroxidase,,,,,,0.16,mM,6.23,10−8 M s−1,si,TMB + H2O2,0.0,0.45,0.2,mM,0.3,mg L-1,4.0,45.0,10.1021/acsabm.0c00605,ACSABM.0C00605,0,A Hybrid of FeS<sub>2</sub> Nanoparticles Encapsulated by Two-Dimensional Carbon Sheets as Excellent Nanozymes for Colorimetric Glucose Detection,ACS Applied Bio Materials,2020,data/pdfs/pdf_nanozymes/ACSABM.0C00605.pdf,False
FeS2@C,peroxidase,,,,,,0.46,mM,11.93,10−8 M s−1,si,H2O2 + TMB,0.0,0.8,0.2,mM,0.3,mg L-1,4.0,45.0,10.1021/acsabm.0c00606,ACSABM.0C00605,0,Electrokinetic Translocation of a Deformable Nanoparticle through a Nanopore,ACS Applied Bio Materials,2020,data/pdfs/pdf_nanozymes/ACSABM.0C00605.pdf,False
Co2V2O7,peroxidase,,250,250,250,,0.311,mM,2.58,10−8 M s−1,si,TMB + H2O2,0.0,0.4,0.3,mM,30.0,μg mL-1,3.0,35.0,10.1021/acsabm.9b01107,ACSABM.9B01107,0,Co<sub>2</sub>V<sub>2</sub>O<sub>7</sub>Particles with Intrinsic Multienzyme Mimetic Activities as an Effective Bioplatform for Ultrasensitive Fluorometric and Colorimetric Biosensing,ACS Applied Bio Materials,2020,data/pdfs/pdf_nanozymes/ACSABM.9B01107.pdf,False
