sn,np,coating,bacteria,mdr,strain,np_synthesis,method,mic_np_µg_ml,concentration,zoi_np_mm,np_size_min_nm,np_size_max_nm,np_size_avg_nm,shape,time_set_hours,zeta_potential_mV,solvent_for_extract,temperature_for_extract_C,duration_preparing_extract_min,precursor_of_np,concentration_of_precursor_mM,hydrodynamic_diameter_nm,ph_during_synthesis,reference,doi,article_list,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access,pdf_file,pdf_downloaded
11,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,128,,,5.34,70.0,26.06,spherical,24.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1,data/pdfs/pdf_seltox/22_lambio0680.pdf,False
12,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,128,,,5.34,70.0,26.06,spherical,24.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1,data/pdfs/pdf_seltox/22_lambio0680.pdf,False
13,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,8,,,5.34,70.0,26.06,spherical,24.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1,data/pdfs/pdf_seltox/22_lambio0680.pdf,False
14,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,64,,,5.34,70.0,26.06,spherical,24.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1,data/pdfs/pdf_seltox/22_lambio0680.pdf,False
15,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,128,,,5.34,70.0,26.06,spherical,24.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1,data/pdfs/pdf_seltox/22_lambio0680.pdf,False
16,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,64,,,5.34,70.0,26.06,spherical,24.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1,data/pdfs/pdf_seltox/22_lambio0680.pdf,False
17,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,64,,,5.34,70.0,26.06,spherical,24.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1,data/pdfs/pdf_seltox/22_lambio0680.pdf,False
18,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,64,,,5.34,70.0,26.06,spherical,24.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1,data/pdfs/pdf_seltox/22_lambio0680.pdf,False
19,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,64,,,5.34,70.0,26.06,spherical,24.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1,data/pdfs/pdf_seltox/22_lambio0680.pdf,False
20,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,4,,,5.34,70.0,26.06,spherical,24.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1,data/pdfs/pdf_seltox/22_lambio0680.pdf,False
21,Ag,0,Bacillus subtilis,0,,green_synthesis using aqueous Cassiarox burghii leaf extract,MIC,8.1,,,10.0,30.0,20.0,spherical,24.0,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,False,False,closed,17_10.1007@s10876-020-01759-x.pdf,0,data/pdfs/pdf_seltox/17_10.1007@s10876-020-01759-x.pdf,False
22,Ag,0,Bacillus subtilis,0,,green_synthesis using aqueous Cassiarox burghii leaf extract,MBC,9.8,,,10.0,30.0,20.0,spherical,24.0,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,False,False,closed,17_10.1007@s10876-020-01759-x.pdf,0,data/pdfs/pdf_seltox/17_10.1007@s10876-020-01759-x.pdf,False
23,Ag,0,Micrococcus luteus,0,,green_synthesis using aqueous Cassiarox burghii leaf extract,MIC,6.3,,,10.0,30.0,20.0,spherical,24.0,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,False,False,closed,17_10.1007@s10876-020-01759-x.pdf,0,data/pdfs/pdf_seltox/17_10.1007@s10876-020-01759-x.pdf,False
24,Ag,0,Micrococcus luteus,0,,green_synthesis using aqueous Cassiarox burghii leaf extract,MBC,7.8,,,10.0,30.0,20.0,spherical,24.0,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,False,False,closed,17_10.1007@s10876-020-01759-x.pdf,0,data/pdfs/pdf_seltox/17_10.1007@s10876-020-01759-x.pdf,False
25,Ag,0,Klebsiella pneumoniae,0,,green_synthesis using aqueous Cassiarox burghii leaf extract,MIC,8.1,,,10.0,30.0,20.0,spherical,24.0,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,False,False,closed,17_10.1007@s10876-020-01759-x.pdf,0,data/pdfs/pdf_seltox/17_10.1007@s10876-020-01759-x.pdf,False
26,Ag,0,Klebsiella pneumoniae,0,,green_synthesis using aqueous Cassiarox burghii leaf extract,MBC,9.8,,,10.0,30.0,20.0,spherical,24.0,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,False,False,closed,17_10.1007@s10876-020-01759-x.pdf,0,data/pdfs/pdf_seltox/17_10.1007@s10876-020-01759-x.pdf,False
27,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis using aqueous Cassiarox burghii leaf extract,MIC,6.3,,,10.0,30.0,20.0,spherical,24.0,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,False,False,closed,17_10.1007@s10876-020-01759-x.pdf,0,data/pdfs/pdf_seltox/17_10.1007@s10876-020-01759-x.pdf,False
28,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis using aqueous Cassiarox burghii leaf extract,MBC,8.1,,,10.0,30.0,20.0,spherical,24.0,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,False,False,closed,17_10.1007@s10876-020-01759-x.pdf,0,data/pdfs/pdf_seltox/17_10.1007@s10876-020-01759-x.pdf,False
29,Ag,0,Escherichia coli,0,,green_synthesis using aqueous Cassiarox burghii leaf extract,MIC,4,,,10.0,30.0,20.0,spherical,24.0,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,False,False,closed,17_10.1007@s10876-020-01759-x.pdf,0,data/pdfs/pdf_seltox/17_10.1007@s10876-020-01759-x.pdf,False
30,Ag,0,Escherichia coli,0,,green_synthesis using aqueous Cassiarox burghii leaf extract,MBC,6.3,,,10.0,30.0,20.0,spherical,24.0,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,False,False,closed,17_10.1007@s10876-020-01759-x.pdf,0,data/pdfs/pdf_seltox/17_10.1007@s10876-020-01759-x.pdf,False
31,Ag,0,Staphylococcus aureus,0,,green_synthesis using aqueous Cassiarox burghii leaf extract,MIC,4,,,10.0,30.0,20.0,spherical,24.0,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,False,False,closed,17_10.1007@s10876-020-01759-x.pdf,0,data/pdfs/pdf_seltox/17_10.1007@s10876-020-01759-x.pdf,False
32,Ag,0,Staphylococcus aureus,0,,green_synthesis using aqueous Cassiarox burghii leaf extract,MBC,6.3,,,10.0,30.0,20.0,spherical,24.0,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,False,False,closed,17_10.1007@s10876-020-01759-x.pdf,0,data/pdfs/pdf_seltox/17_10.1007@s10876-020-01759-x.pdf,False
33,Ag,0,Bacillus subtilis,0,,green_synthesis,MIC,8.1,,,10.0,30.0,20.0,spherical,24.0,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,False,False,closed,17_10.1007@s10876-020-01759-x.pdf,0,data/pdfs/pdf_seltox/17_10.1007@s10876-020-01759-x.pdf,False
34,Ag,0,Bacillus subtilis,0,,green_synthesis,MBC,9.8,,,10.0,30.0,20.0,spherical,24.0,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,False,False,closed,17_10.1007@s10876-020-01759-x.pdf,0,data/pdfs/pdf_seltox/17_10.1007@s10876-020-01759-x.pdf,False
35,Ag,0,Escherichia coli,0,,"purchased from us research nanomaterials, inc.Р Р†Р’",MIC,64,,,15.0,25.0,20.0,spherical,24.0,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,False,False,closed,17_10.1007@s10876-020-01759-x.pdf,0,data/pdfs/pdf_seltox/17_10.1007@s10876-020-01759-x.pdf,False
36,Ag,0,Escherichia coli,0,,"purchased from us research nanomaterials, inc.Р Р†Р’",MIC,64,,,15.0,25.0,20.0,spherical,24.0,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,False,False,closed,17_10.1007@s10876-020-01759-x.pdf,0,data/pdfs/pdf_seltox/17_10.1007@s10876-020-01759-x.pdf,False
37,Ag,0,Micrococcus luteus,0,,green_synthesis,MIC,6.3,,,10.0,30.0,20.0,spherical,24.0,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,False,False,closed,17_10.1007@s10876-020-01759-x.pdf,0,data/pdfs/pdf_seltox/17_10.1007@s10876-020-01759-x.pdf,False
38,Ag,0,Micrococcus luteus,0,,green_synthesis,MBC,7.8,,,10.0,30.0,20.0,spherical,24.0,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,False,False,closed,17_10.1007@s10876-020-01759-x.pdf,0,data/pdfs/pdf_seltox/17_10.1007@s10876-020-01759-x.pdf,False
39,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,6.3,,,10.0,30.0,20.0,spherical,24.0,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,False,False,closed,17_10.1007@s10876-020-01759-x.pdf,0,data/pdfs/pdf_seltox/17_10.1007@s10876-020-01759-x.pdf,False
40,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MBC,8.1,,,10.0,30.0,20.0,spherical,24.0,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,False,False,closed,17_10.1007@s10876-020-01759-x.pdf,0,data/pdfs/pdf_seltox/17_10.1007@s10876-020-01759-x.pdf,False
41,Ag,0,Staphylococcus aureus,0,,green_synthesis,MIC,4,,,10.0,30.0,20.0,spherical,24.0,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,False,False,closed,17_10.1007@s10876-020-01759-x.pdf,0,data/pdfs/pdf_seltox/17_10.1007@s10876-020-01759-x.pdf,False
42,Ag,0,Staphylococcus aureus,0,,green_synthesis,MBC,6.3,,,10.0,30.0,20.0,spherical,24.0,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,False,False,closed,17_10.1007@s10876-020-01759-x.pdf,0,data/pdfs/pdf_seltox/17_10.1007@s10876-020-01759-x.pdf,False
43,Ag,0,Bacillus subtilis,0,,chemical_synthesis,MIC,11,,,20.0,50.0,35.0,spherical,24.0,-18.0,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,True,True,gold,28_10.1371@journal.pone.0224904.pdf,1,data/pdfs/pdf_seltox/28_10.1371@journal.pone.0224904.pdf,True
44,Ag,0,Bacillus subtilis,0,,chemical_synthesis,MIC,11,,,20.0,50.0,35.0,spherical,24.0,-18.0,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,True,True,gold,28_10.1371@journal.pone.0224904.pdf,1,data/pdfs/pdf_seltox/28_10.1371@journal.pone.0224904.pdf,True
45,Ag,0,Bacillus subtilis,0,,chemical_synthesis,MIC,11,,,20.0,50.0,35.0,spherical,24.0,-18.0,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,True,True,gold,28_10.1371@journal.pone.0224904.pdf,1,data/pdfs/pdf_seltox/28_10.1371@journal.pone.0224904.pdf,True
46,Ag,0,Bacillus subtilis,0,,chemical_synthesis,MIC,11,,,20.0,50.0,35.0,spherical,24.0,-18.0,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,True,True,gold,28_10.1371@journal.pone.0224904.pdf,1,data/pdfs/pdf_seltox/28_10.1371@journal.pone.0224904.pdf,True
47,Ag,0,Bacillus subtilis,0,,chemical_synthesis,MIC,11,,,20.0,50.0,35.0,spherical,24.0,-18.0,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,True,True,gold,28_10.1371@journal.pone.0224904.pdf,1,data/pdfs/pdf_seltox/28_10.1371@journal.pone.0224904.pdf,True
48,Ag,0,Escherichia coli,0,,chemical_synthesis,MIC,10,,,20.0,50.0,35.0,spherical,24.0,-18.0,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,True,True,gold,28_10.1371@journal.pone.0224904.pdf,1,data/pdfs/pdf_seltox/28_10.1371@journal.pone.0224904.pdf,True
49,Ag,0,Escherichia coli,0,,chemical_synthesis,MIC,10,,,20.0,50.0,35.0,spherical,24.0,-18.0,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,True,True,gold,28_10.1371@journal.pone.0224904.pdf,1,data/pdfs/pdf_seltox/28_10.1371@journal.pone.0224904.pdf,True
50,Ag,0,Escherichia coli,0,,chemical_synthesis,MIC,10,,,20.0,50.0,35.0,spherical,24.0,-18.0,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,True,True,gold,28_10.1371@journal.pone.0224904.pdf,1,data/pdfs/pdf_seltox/28_10.1371@journal.pone.0224904.pdf,True
51,Ag,0,Escherichia coli,0,,chemical_synthesis,MIC,10,,,20.0,50.0,35.0,spherical,24.0,-18.0,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,True,True,gold,28_10.1371@journal.pone.0224904.pdf,1,data/pdfs/pdf_seltox/28_10.1371@journal.pone.0224904.pdf,True
