sn,material,shape,coat_functional_group,synthesis_method,surface_charge,size_in_medium_nm,zeta_in_medium_mv,no_of_cells_cells_well,human_animal,cell_source,cell_tissue,cell_morphology,cell_age,time_hr,concentration,test,test_indicator,viability_%,doi,article_list,core_nm,hydrodynamic_nm,potential_mv,cell_type,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access,pdf_file,pdf_downloaded
10,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,,,,24,1.95,MTT,TetrazoliumSalt,105.21,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
11,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,,,,24,3.9,MTT,TetrazoliumSalt,120.85,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
12,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,,,,24,7.8,MTT,TetrazoliumSalt,117.25,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
13,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,,,,24,15.6,MTT,TetrazoliumSalt,106.06,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
14,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,,,,24,31.2,MTT,TetrazoliumSalt,84.93,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
15,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,,,,24,62.5,MTT,TetrazoliumSalt,96.127,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
16,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,,,,24,125.0,MTT,TetrazoliumSalt,94.225,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
17,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,,,,24,250.0,MTT,TetrazoliumSalt,103.94,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
18,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,,,,24,500.0,MTT,TetrazoliumSalt,79.014,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
19,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,,,,24,1000.0,MTT,TetrazoliumSalt,63.803,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
20,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,,,,12,1.95,MTT,TetrazoliumSalt,97.463,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
21,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,,,,12,3.9,MTT,TetrazoliumSalt,95.486,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
22,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,,,,12,7.8,MTT,TetrazoliumSalt,89.951,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
23,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,,,,12,15.6,MTT,TetrazoliumSalt,105.96,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
24,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,,,,12,31.2,MTT,TetrazoliumSalt,95.091,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
25,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,,,,12,62.5,MTT,TetrazoliumSalt,96.474,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
26,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,,,,12,125.0,MTT,TetrazoliumSalt,94.3,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
27,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,,,,12,250.0,MTT,TetrazoliumSalt,72.356,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
28,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,,,,12,500.0,MTT,TetrazoliumSalt,70.774,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
29,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,,,,12,1000.0,MTT,TetrazoliumSalt,71.763,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
30,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,,,,24,1.95,MTT,TetrazoliumSalt,103.52,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
31,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,,,,24,3.9,MTT,TetrazoliumSalt,96.761,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
32,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,,,,24,7.8,MTT,TetrazoliumSalt,109.86,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
33,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,,,,24,15.6,MTT,TetrazoliumSalt,122.75,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
34,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,,,,24,31.2,MTT,TetrazoliumSalt,104.58,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
35,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,,,,24,62.5,MTT,TetrazoliumSalt,118.73,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
36,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,,,,24,125.0,MTT,TetrazoliumSalt,94.648,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
37,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,,,,24,250.0,MTT,TetrazoliumSalt,103.1,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
38,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,,,,24,500.0,MTT,TetrazoliumSalt,105.63,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
39,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,,,,24,1000.0,MTT,TetrazoliumSalt,80.493,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
40,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,,,,12,1.95,MTT,TetrazoliumSalt,120.0,10.3109/15376516.2015.1070229,1,,437.0,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
41,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,,,,12,3.9,MTT,TetrazoliumSalt,119.41,10.3109/15376516.2015.1070229,1,,437.0,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
42,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,,,,12,7.8,MTT,TetrazoliumSalt,109.52,10.3109/15376516.2015.1070229,1,,437.0,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
43,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,,,,12,15.6,MTT,TetrazoliumSalt,111.3,10.3109/15376516.2015.1070229,1,,437.0,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
44,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,,,,12,31.2,MTT,TetrazoliumSalt,114.86,10.3109/15376516.2015.1070229,1,,437.0,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
45,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,,,,12,62.5,MTT,TetrazoliumSalt,116.05,10.3109/15376516.2015.1070229,1,,437.0,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
46,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,,,,12,125.0,MTT,TetrazoliumSalt,106.95,10.3109/15376516.2015.1070229,1,,437.0,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
47,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,,,,12,250.0,MTT,TetrazoliumSalt,73.74,10.3109/15376516.2015.1070229,1,,437.0,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
48,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,,,,12,500.0,MTT,TetrazoliumSalt,93.904,10.3109/15376516.2015.1070229,1,,437.0,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
49,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,,,,12,1000.0,MTT,TetrazoliumSalt,76.31,10.3109/15376516.2015.1070229,1,,437.0,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
50,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,,,,24,1.95,MTT,TetrazoliumSalt,104.15,10.3109/15376516.2015.1070229,1,,437.0,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
51,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,,,,24,3.9,MTT,TetrazoliumSalt,102.89,10.3109/15376516.2015.1070229,1,,437.0,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
52,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,,,,24,7.8,MTT,TetrazoliumSalt,102.04,10.3109/15376516.2015.1070229,1,,437.0,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
53,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,,,,24,15.6,MTT,TetrazoliumSalt,94.225,10.3109/15376516.2015.1070229,1,,437.0,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
54,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,,,,24,31.2,MTT,TetrazoliumSalt,90.423,10.3109/15376516.2015.1070229,1,,437.0,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
55,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,,,,24,62.5,MTT,TetrazoliumSalt,91.056,10.3109/15376516.2015.1070229,1,,437.0,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,False,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0,data/pdfs/pdf_cytotox/1_10.3109@15376516.2015.1070229.pdf,False
