formula,activity,syngony,length,width,depth,surface,km_value,km_unit,vmax_value,vmax_unit,target_source,reaction_type,c_min,c_max,c_const,c_const_unit,ccat_value,ccat_unit,ph,temperature,doi,pdf,access,title,journal,year,pdf_file,pdf_downloaded
Tb4O7,oxidase,,200,200,200,,0.000124,M,4.31e-08,M/s,text,TMB,0.1,1.6,,,,,3.6,25.0,10.1186/s12951-019-0487-x,S129510190487X,1,Bactericidal effects and accelerated wound healing using Tb4O7 nanoparticles with intrinsic oxidase-like activity,Journal of Nanobiotechnology,2019,data/pdfs/pdf_nanozymes/S129510190487X.pdf,True
CeO2,peroxidase,cubic,13,13,13,,0.217,mM,8.2e-05,M/s,text,TMB + H2O2,0.0,2.5,1000.0,mM,0.025,μg in 1mL,4.0,25.0,10.1038/srep35344,SREP35344,1,Redox enzyme-mimicking activities of CeO2 nanostructures: Intrinsic influence of exposed facets,Scientific Reports,2016,data/pdfs/pdf_nanozymes/SREP35344.pdf,True
CeO2,peroxidase,cubic,13,13,13,,153.6,mM,0.000122,M/s,text,H2O2 + TMB,0.0,2000.0,0.5,μmol,24.0,μg ,4.0,25.0,10.1038/srep35344,SREP35344,1,Redox enzyme-mimicking activities of CeO2 nanostructures: Intrinsic influence of exposed facets,Scientific Reports,2016,data/pdfs/pdf_nanozymes/SREP35344.pdf,True
CeO2,peroxidase,cubic,10,10,10,,,,,,text,H2O2 + TMB,0.0,2000.0,0.5,μmol,24.0,μg ,4.0,25.0,10.1038/srep35344,SREP35344,1,Redox enzyme-mimicking activities of CeO2 nanostructures: Intrinsic influence of exposed facets,Scientific Reports,2016,data/pdfs/pdf_nanozymes/SREP35344.pdf,True
CeO2,peroxidase,cubic,10,10,10,,0.24,mM,4e-06,M/s,text,TMB + H2O2,0.0,2.5,1000.0,mM,0.025,μg in 1mL,4.0,25.0,10.1038/srep35344,SREP35344,1,Redox enzyme-mimicking activities of CeO2 nanostructures: Intrinsic influence of exposed facets,Scientific Reports,2016,data/pdfs/pdf_nanozymes/SREP35344.pdf,True
Au0.75Pt0.25,oxidase,cubic,20,20,20,,0.02,mM,6.0,nMs-1,si_fig,TMB,,,,,1.3,μg/mL,,,10.1038/srep40103,SREP40103,1,AuPt Alloy Nanostructures with Tunable Composition and Enzyme-like Activities for Colorimetric Detection of Bisulfide,Scientific Reports,2017,data/pdfs/pdf_nanozymes/SREP40103.pdf,True
Au0.5Pt0.5,oxidase,cubic,25,25,25,,0.048,mM,17.0,nMs-1,si_fig,TMB,,,,,1.3,μg/mL,,,10.1038/srep40103,SREP40103,1,AuPt Alloy Nanostructures with Tunable Composition and Enzyme-like Activities for Colorimetric Detection of Bisulfide,Scientific Reports,2017,data/pdfs/pdf_nanozymes/SREP40103.pdf,True
Au0.25Pt0.75,oxidase,cubic,30,30,30,,0.16,mM,173.0,nMs-1,si_fig,TMB,,,,,1.3,μg/mL,,,10.1038/srep40103,SREP40103,1,AuPt Alloy Nanostructures with Tunable Composition and Enzyme-like Activities for Colorimetric Detection of Bisulfide,Scientific Reports,2017,data/pdfs/pdf_nanozymes/SREP40103.pdf,True
Au0.15Pt0.85,oxidase,cubic,40,40,40,,0.23,mM,181.0,nMs-1,si_fig,TMB,,,,,1.3,μg/mL,,,10.1038/srep40103,SREP40103,1,AuPt Alloy Nanostructures with Tunable Composition and Enzyme-like Activities for Colorimetric Detection of Bisulfide,Scientific Reports,2017,data/pdfs/pdf_nanozymes/SREP40103.pdf,True
Pt,oxidase,cubic,45,45,45,,0.53,mM,327.0,nMs-1,si_fig,TMB,,,,,1.3,μg/mL,,,10.1038/srep40103,SREP40103,1,AuPt Alloy Nanostructures with Tunable Composition and Enzyme-like Activities for Colorimetric Detection of Bisulfide,Scientific Reports,2017,data/pdfs/pdf_nanozymes/SREP40103.pdf,True
LaNiO3,peroxidase,,600,600,600,PVP,0.105,mM,0.000362,Ms-1,si,TMB + H2O2,0.0,0.6,10.0,mM,1.0,mg/ml,4.5,55.0,10.7150/thno.19257,THNO.19257,1,Boosting the Peroxidase-Like Activity of Nanostructured Nickel by Inducing Its 3+ Oxidation State in LaNiO<sub>3</sub> Perovskite and Its Application for Biomedical Assays,Theranostics,2017,data/pdfs/pdf_nanozymes/THNO.19257.pdf,True
LaNiO3,peroxidase,,600,600,600,PVP,90.05,mM,0.0026,Ms-1,si,H2O2 + TMB,0.0,500.0,0.8,mM,1.0,mg/ml,4.5,55.0,10.7150/thno.19257,THNO.19257,1,Boosting the Peroxidase-Like Activity of Nanostructured Nickel by Inducing Its 3+ Oxidation State in LaNiO<sub>3</sub> Perovskite and Its Application for Biomedical Assays,Theranostics,2017,data/pdfs/pdf_nanozymes/THNO.19257.pdf,True
