name,np_shell_2,np_hydro_size,xrd_scherrer_size,zfc_h_meas,htherm_sar,mri_r1,mri_r2,emic_size,instrument,core_shell_formula,np_core,np_shell,space_group_core,space_group_shell,squid_h_max,fc_field_T,squid_temperature,squid_sat_mag,coercivity,squid_rem_mag,exchange_bias_shift_Oe,vertical_loop_shift_M_vsl_emu_g,hc_kOe,doi,pdf,supp,journal,publisher,year,title,access,verification required,verified_by,verification_date,has_mistake_in_matadata,comment,article_name_folder,supp_info_name_folder,pdf_file,pdf_downloaded
,,,,,,1.44,204.5,,,,Fe1Fe2O4,,,,50.0,,300.0,57.6,,,,,,10.1038/ncomms15468,ncomms15468.pdf,ncomms15468_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2017,Artificial local magnetic field inhomogeneity enhances T2 relaxivity,1.0,,,,,,dataset2_74,dataset2_74_supp,data/pdfs/pdf_nanomag/ncomms15468.pdf,True
,,95.0,,,,2.24,589.3,85.7,,,Fe1Fe2O4,,,,50.0,,300.0,51.23,,,,,,10.1038/ncomms15468,ncomms15468.pdf,ncomms15468_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2017,Artificial local magnetic field inhomogeneity enhances T2 relaxivity,1.0,,,,,,dataset2_74,dataset2_74_supp,data/pdfs/pdf_nanomag/ncomms15468.pdf,True
,,103.0,,,,2.76,487.7,91.6,,,Fe1Fe2O4,,,,50.0,,300.0,51.38,,,,,,10.1038/ncomms15468,ncomms15468.pdf,ncomms15468_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2017,Artificial local magnetic field inhomogeneity enhances T2 relaxivity,1.0,,,,,,dataset2_74,dataset2_74_supp,data/pdfs/pdf_nanomag/ncomms15468.pdf,True
,,,,,,,209.03,20.0,,,Fe1Fe2O4,,,,50.0,,300.0,51.0,0.0,0.0,,,,10.1038/ncomms3266,ncomms3266.pdf,ncomms3266_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2013,Octapod iron oxide nanoparticles as high-performance T2 contrast agents for magnetic resonance imaging,1.0,,,,,,dataset2_75,dataset2_75_supp,data/pdfs/pdf_nanomag/ncomms3266.pdf,True
,,,,,,,679.25,30.0,,,Fe1Fe2O4,,,,50.0,,300.0,71.0,0.0,0.0,,,,10.1038/ncomms3266,ncomms3266.pdf,ncomms3266_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2013,Octapod iron oxide nanoparticles as high-performance T2 contrast agents for magnetic resonance imaging,1.0,,,,,,dataset2_75,dataset2_75_supp,data/pdfs/pdf_nanomag/ncomms3266.pdf,True
,,,,,,,125.86,16.0,,,Fe1Fe2O4,,,,50.0,,300.0,67.0,0.0,0.0,,,,10.1038/ncomms3266,ncomms3266.pdf,ncomms3266_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2013,Octapod iron oxide nanoparticles as high-performance T2 contrast agents for magnetic resonance imaging,1.0,,,,,,dataset2_75,dataset2_75_supp,data/pdfs/pdf_nanomag/ncomms3266.pdf,True
,,,,,,,59.91,10.0,,,Fe1Fe2O4,,,,50.0,,300.0,55.0,0.0,0.0,,,,10.1038/ncomms3266,ncomms3266.pdf,ncomms3266_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2013,Octapod iron oxide nanoparticles as high-performance T2 contrast agents for magnetic resonance imaging,1.0,,,,,,dataset2_75,dataset2_75_supp,data/pdfs/pdf_nanomag/ncomms3266.pdf,True
,,,,,,,190.81,25.0,,,Fe1Fe2O4,,,,50.0,,300.0,62.0,5.0,1.0,,,,10.1038/ncomms3266,ncomms3266.pdf,ncomms3266_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2013,Octapod iron oxide nanoparticles as high-performance T2 contrast agents for magnetic resonance imaging,1.0,,,,,,dataset2_75,dataset2_75_supp,data/pdfs/pdf_nanomag/ncomms3266.pdf,True
,,71.0,,200.0,,,312.0,30.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,50.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp,data/pdfs/pdf_nanomag/c5nr00055f.pdf,True
,,76.0,,200.0,,,381.0,40.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,54.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp,data/pdfs/pdf_nanomag/c5nr00055f.pdf,True
,,86.0,,,,,427.0,50.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,58.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp,data/pdfs/pdf_nanomag/c5nr00055f.pdf,True
,,95.0,,,,,545.0,60.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,63.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp,data/pdfs/pdf_nanomag/c5nr00055f.pdf,True
,,105.0,,,,,608.0,70.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,66.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp,data/pdfs/pdf_nanomag/c5nr00055f.pdf,True
,,35.0,,200.0,,,141.0,4.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,56.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp,data/pdfs/pdf_nanomag/c5nr00055f.pdf,True
,,38.0,,200.0,,,185.0,6.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,63.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp,data/pdfs/pdf_nanomag/c5nr00055f.pdf,True
,,41.0,,200.0,,,218.0,8.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,70.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp,data/pdfs/pdf_nanomag/c5nr00055f.pdf,True
,,44.0,,200.0,,,249.0,12.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,78.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp,data/pdfs/pdf_nanomag/c5nr00055f.pdf,True
,,48.0,,200.0,,,297.0,16.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,83.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp,data/pdfs/pdf_nanomag/c5nr00055f.pdf,True
,,71.0,,,,,312.0,30.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,50.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp,data/pdfs/pdf_nanomag/c5nr00055f.pdf,True
,,76.0,,,,,381.0,40.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,54.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp,data/pdfs/pdf_nanomag/c5nr00055f.pdf,True
,,86.0,,,,,427.0,50.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,58.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp,data/pdfs/pdf_nanomag/c5nr00055f.pdf,True
,,95.0,,,,,545.0,60.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,63.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp,data/pdfs/pdf_nanomag/c5nr00055f.pdf,True
,,105.0,,,,,608.0,70.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,66.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp,data/pdfs/pdf_nanomag/c5nr00055f.pdf,True
,,35.0,,,,,141.0,4.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,56.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp,data/pdfs/pdf_nanomag/c5nr00055f.pdf,True
,,38.0,,,,,185.0,6.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,63.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp,data/pdfs/pdf_nanomag/c5nr00055f.pdf,True
,,41.0,,,,,218.0,8.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,70.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp,data/pdfs/pdf_nanomag/c5nr00055f.pdf,True
,,44.0,,,,,249.0,12.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,78.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp,data/pdfs/pdf_nanomag/c5nr00055f.pdf,True
,,48.0,,,,,297.0,16.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,83.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp,data/pdfs/pdf_nanomag/c5nr00055f.pdf,True
,,10.0,,,,26.74,79.44,10.0,,,Eu0.3Fe0.7Fe2O4,citrate,,,,,,,,,,,,10.1039/c5nr00774g,c5nr00774g.pdf,c5nr00774g_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Europium-engineered iron oxide nanocubes with high T<sub>1</sub>and T<sub>2</sub>contrast abilities for MRI in living subjects,1.0,,,,,,dataset2_85,dataset2_85_supp,data/pdfs/pdf_nanomag/c5nr00774g.pdf,True
,,14.0,,,,36.79,97.52,14.0,,,Eu0.3Fe0.7Fe2O4,citrate,,,,,,,,,,,,10.1039/c5nr00774g,c5nr00774g.pdf,c5nr00774g_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Europium-engineered iron oxide nanocubes with high T<sub>1</sub>and T<sub>2</sub>contrast abilities for MRI in living subjects,1.0,,,,,,dataset2_85,dataset2_85_supp,data/pdfs/pdf_nanomag/c5nr00774g.pdf,True
,,20.0,,,,41.43,171.32,20.0,,,Eu0.3Fe0.7Fe2O4,citrate,,,,,,,,,,,,10.1039/c5nr00774g,c5nr00774g.pdf,c5nr00774g_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Europium-engineered iron oxide nanocubes with high T<sub>1</sub>and T<sub>2</sub>contrast abilities for MRI in living subjects,1.0,,,,,,dataset2_85,dataset2_85_supp,data/pdfs/pdf_nanomag/c5nr00774g.pdf,True
,,14.0,,,,22.51,112.07,14.0,,,Eu0.18Fe0.82Fe2O4,citrate,,,,,,,,,,,,10.1039/c5nr00774g,c5nr00774g.pdf,c5nr00774g_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Europium-engineered iron oxide nanocubes with high T<sub>1</sub>and T<sub>2</sub>contrast abilities for MRI in living subjects,1.0,,,,,,dataset2_85,dataset2_85_supp,data/pdfs/pdf_nanomag/c5nr00774g.pdf,True
,,14.0,,,,31.68,81.63,14.0,,,Eu0.35Fe0.65Fe2O4,citrate,,,,,,,,,,,,10.1039/c5nr00774g,c5nr00774g.pdf,c5nr00774g_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Europium-engineered iron oxide nanocubes with high T<sub>1</sub>and T<sub>2</sub>contrast abilities for MRI in living subjects,1.0,,,,,,dataset2_85,dataset2_85_supp,data/pdfs/pdf_nanomag/c5nr00774g.pdf,True
,,,,,,0.69,118.0,6.4,,,Mn1Fe2O4,PEG,,,60.0,,300.0,33.7,0.0,0.0,,,,10.1039/c7ra05495e,c7ra05495e.pdf,c7ra05495e_SI.pdf,RSC Advances,Royal Society of Chemistry (RSC),2017,"Synthesis, characterization, and evaluation of PEGylated first-row transition metal ferrite nanoparticles as T<sub>2</sub>contrast agents for high-field MRI",1.0,,,,,,dataset2_90,dataset2_90_supp,data/pdfs/pdf_nanomag/c7ra05495e.pdf,True
,,,,,,0.8,75.0,10.0,,,Fe1Fe2O4,PEG,,,60.0,,300.0,34.4,0.0,0.0,,,,10.1039/c7ra05495e,c7ra05495e.pdf,c7ra05495e_SI.pdf,RSC Advances,Royal Society of Chemistry (RSC),2017,"Synthesis, characterization, and evaluation of PEGylated first-row transition metal ferrite nanoparticles as T<sub>2</sub>contrast agents for high-field MRI",1.0,,,,,,dataset2_90,dataset2_90_supp,data/pdfs/pdf_nanomag/c7ra05495e.pdf,True
,,,,,,0.45,99.0,6.0,,,Co1Fe2O4,PEG,,,60.0,,300.0,33.3,0.0,0.0,,,,10.1039/c7ra05495e,c7ra05495e.pdf,c7ra05495e_SI.pdf,RSC Advances,Royal Society of Chemistry (RSC),2017,"Synthesis, characterization, and evaluation of PEGylated first-row transition metal ferrite nanoparticles as T<sub>2</sub>contrast agents for high-field MRI",1.0,,,,,,dataset2_90,dataset2_90_supp,data/pdfs/pdf_nanomag/c7ra05495e.pdf,True
,,,,,,0.78,36.0,6.2,,,Ni1Fe2O4,PEG,,,60.0,,300.0,28.4,0.0,0.0,,,,10.1039/c7ra05495e,c7ra05495e.pdf,c7ra05495e_SI.pdf,RSC Advances,Royal Society of Chemistry (RSC),2017,"Synthesis, characterization, and evaluation of PEGylated first-row transition metal ferrite nanoparticles as T<sub>2</sub>contrast agents for high-field MRI",1.0,,,,,,dataset2_90,dataset2_90_supp,data/pdfs/pdf_nanomag/c7ra05495e.pdf,True
,,,,,,1.21,34.0,8.7,,,Cu1Fe2O4,PEG,,,60.0,,300.0,23.2,0.0,0.0,,,,10.1039/c7ra05495e,c7ra05495e.pdf,c7ra05495e_SI.pdf,RSC Advances,Royal Society of Chemistry (RSC),2017,"Synthesis, characterization, and evaluation of PEGylated first-row transition metal ferrite nanoparticles as T<sub>2</sub>contrast agents for high-field MRI",1.0,,,,,,dataset2_90,dataset2_90_supp,data/pdfs/pdf_nanomag/c7ra05495e.pdf,True
,,,,,,0.6,49.0,6.0,,,Zn1Fe2O4,PEG,,,60.0,,300.0,16.0,0.0,0.0,,,,10.1039/c7ra05495e,c7ra05495e.pdf,c7ra05495e_SI.pdf,RSC Advances,Royal Society of Chemistry (RSC),2017,"Synthesis, characterization, and evaluation of PEGylated first-row transition metal ferrite nanoparticles as T<sub>2</sub>contrast agents for high-field MRI",1.0,,,,,,dataset2_90,dataset2_90_supp,data/pdfs/pdf_nanomag/c7ra05495e.pdf,True
,,,,,,12.0,189.0,18.0,,,Fe1Fe2O4,,,,3.0,,300.0,64.0,0.0,0.0,342.15,,,10.1039/d1nr03335b,d1nr03335b.pdf,d1nr03335b_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2021,"Unveiling the role of surface, size, shape and defects of iron oxide nanoparticles for theranostic applications",1.0,,,,,,dataset2_93,dataset2_93_supp,data/pdfs/pdf_nanomag/d1nr03335b.pdf,True
,,,,,,10.0,303.0,22.0,,,Fe1Fe2O4,,,,3.0,,300.0,88.0,0.0,0.0,0.0,,,10.1039/d1nr03335b,d1nr03335b.pdf,d1nr03335b_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2021,"Unveiling the role of surface, size, shape and defects of iron oxide nanoparticles for theranostic applications",1.0,,,,,,dataset2_93,dataset2_93_supp,data/pdfs/pdf_nanomag/d1nr03335b.pdf,True
,,,,,,17.0,405.0,18.0,,,Fe1Fe2O4,,,,3.0,,300.0,104.0,0.0,0.0,0.0,,,10.1039/d1nr03335b,d1nr03335b.pdf,d1nr03335b_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2021,"Unveiling the role of surface, size, shape and defects of iron oxide nanoparticles for theranostic applications",1.0,,,,,,dataset2_93,dataset2_93_supp,data/pdfs/pdf_nanomag/d1nr03335b.pdf,True
