smiles,doi,title,publisher,year,access,compound_id,target_type,target_relation,target_value,target_units,bacteria,bacteria_unified,page_bacteria,origin_bacteria,section_bacteria,subsection_bacteria,page_target,origin_target,section_target,subsection_target,page_scaffold,origin_scaffold,page_residue,origin_residue,pdf,pdf_file,pdf_downloaded
O=S(=O)(Nc1nccs1)c1ccc(-n2cc(CSc3nc4ccccc4[nH]3)nn2)cc1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,4d,MIC,'=',64,µg/mL,Ec,Escherichia coli,6,table 1,,,6,table 1,,,3,scheme 2,3.0,scheme 2,s13065-018-0479-1,data/pdfs/pdf_benzimidazole/s13065-018-0479-1.pdf,True
O=S(=O)(Nc1ncccn1)c1ccc(-n2cc(CSc3nc4ccccc4[nH]3)nn2)cc1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,4b,MIC,'=',128,µg/mL,Ec,Escherichia coli,6,table 1,,,6,table 1,,,3,scheme 2,3.0,scheme 2,s13065-018-0479-1,data/pdfs/pdf_benzimidazole/s13065-018-0479-1.pdf,True
Cc1cc(C)nc(NS(=O)(=O)c2ccc(-n3cc(CSc4nc5ccccc5[nH]4)nn3)cc2)n1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,4a,MIC,'=',128,µg/mL,Ec,Escherichia coli,6,table 1,,,6,table 1,,,3,scheme 2,3.0,scheme 2,s13065-018-0479-1,data/pdfs/pdf_benzimidazole/s13065-018-0479-1.pdf,True
Cc1noc(NS(=O)(=O)c2ccc(-n3cc(CSc4nc5ccccc5[nH]4)nn3)cc2)c1C,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,4e,MIC,'=',64,µg/mL,Ec,Escherichia coli,6,table 1,,,6,table 1,,,3,scheme 2,3.0,scheme 2,s13065-018-0479-1,data/pdfs/pdf_benzimidazole/s13065-018-0479-1.pdf,True
Cc1cc(C)nc(NS(=O)(=O)c2ccc(-n3cc(CSc4nc5ccccc5n4Cc4cn(-c5ccc(S(=O)(=O)Nc6nc(C)cc(C)n6)cc5)nn4)nn3)cc2)n1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,6a,MIC,'=',64,µg/mL,Ec,Escherichia coli,6,table 1,,,6,table 1,,,4,scheme 4,4.0,scheme 4,s13065-018-0479-1,data/pdfs/pdf_benzimidazole/s13065-018-0479-1.pdf,True
O=S(=O)(Nc1ncccn1)c1ccc(-n2cc(CSc3nc4ccccc4n3Cc3cn(-c4ccc(S(=O)(=O)Nc5ncccn5)cc4)nn3)nn2)cc1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,6b,MIC,'=',64,µg/mL,Ec,Escherichia coli,6,table 1,,,6,table 1,,,4,scheme 4,4.0,scheme 4,s13065-018-0479-1,data/pdfs/pdf_benzimidazole/s13065-018-0479-1.pdf,True
O=S(=O)(Nc1ccccn1)c1ccc(-n2cc(CSc3nc4ccccc4n3Cc3cn(-c4ccc(S(=O)(=O)Nc5ccccn5)cc4)nn3)nn2)cc1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,6c,MIC,'=',32,µg/mL,Ec,Escherichia coli,6,table 1,,,6,table 1,,,4,scheme 4,4.0,scheme 4,s13065-018-0479-1,data/pdfs/pdf_benzimidazole/s13065-018-0479-1.pdf,True
O=S(=O)(Nc1nccs1)c1ccc(-n2cc(CSc3nc4ccccc4n3Cc3cn(-c4ccc(S(=O)(=O)Nc5nccs5)cc4)nn3)nn2)cc1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,6d,MIC,'=',32,µg/mL,Ec,Escherichia coli,6,table 1,,,6,table 1,,,4,scheme 4,4.0,scheme 4,s13065-018-0479-1,data/pdfs/pdf_benzimidazole/s13065-018-0479-1.pdf,True
Cc1noc(NS(=O)(=O)c2ccc(-n3cc(CSc4nc5ccccc5n4Cc4cn(-c5ccc(S(=O)(=O)Nc6onc(C)c6C)cc5)nn4)nn3)cc2)c1C,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,6e,MIC,'=',32,µg/mL,Ec,Escherichia coli,6,table 1,,,6,table 1,,,4,scheme 4,4.0,scheme 4,s13065-018-0479-1,data/pdfs/pdf_benzimidazole/s13065-018-0479-1.pdf,True
N=C(N)NS(=O)(=O)c1ccc(-n2cc(CSc3nc4ccccc4n3Cc3cn(-c4ccc(S(=O)(=O)NC(=N)N)cc4)nn3)nn2)cc1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,6f,MIC,'=',128,µg/mL,Ec,Escherichia coli,6,table 1,,,6,table 1,,,4,scheme 4,4.0,scheme 4,s13065-018-0479-1,data/pdfs/pdf_benzimidazole/s13065-018-0479-1.pdf,True
Clc1ccc(-c2nc3ccccc3[nH]2)c(Cl)c1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,1c,MIC,'=',128,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
Clc1ccc(-c2nc3ccccc3[nH]2)cc1Cl,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,1d,MIC,'=',32,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
Fc1cccc(Cl)c1-c1nc2ccccc2[nH]1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,1e,MIC,'=',64,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
Fc1ccc(-c2nc3ccccc3[nH]2)cc1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,1i,MIC,'=',256,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
Oc1ccc(Br)cc1-c1nc2ccccc2[nH]1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,1k,MIC,'=',64,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
Oc1cccc(-c2nc3ccccc3[nH]2)c1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,1l,MIC,'=',64,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
COc1ccc(-c2nc3ccccc3[nH]2)cc1O,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,1m,MIC,'=',256,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
COc1cccc(-c2nc3ccccc3[nH]2)c1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,1n,MIC,'=',256,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
CSc1ccc(-c2nc3ccccc3[nH]2)cc1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,1o,MIC,'=',64,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
O=[N+]([O-])c1ccc(-c2nc3ccccc3[nH]2)cc1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,1q,MIC,'=',128,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
CN(C)c1ccc(-c2nc3ccccc3[nH]2)cc1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,1r,MIC,'=',64,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
c1ccc2c(-c3nc4ccccc4[nH]3)c3ccccc3cc2c1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,1s,MIC,'=',64,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
c1cncc(-c2nc3ccccc3[nH]2)c1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,1v,MIC,'=',64,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
c1ccc2[nH]c(-c3ccncc3)nc2c1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,1w,MIC,'=',128,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
Cc1ccc2nc(-c3ccccc3Cl)[nH]c2c1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,2a,MIC,'=',64,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
Cc1ccc2nc(-c3ccc(Cl)cc3)[nH]c2c1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,2b,MIC,'=',256,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
Cc1ccc2nc(-c3ccc(Cl)cc3Cl)[nH]c2c1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,2c,MIC,'=',64,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
Cc1ccc2nc(-c3ccc(Cl)c(Cl)c3)[nH]c2c1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,2d,MIC,'=',32,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
Cc1ccc2nc(-c3c(F)cccc3Cl)[nH]c2c1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,2e,MIC,'=',128,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
COc1ccc(-c2nc3ccc(C)cc3[nH]2)cc1OC,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,2f,MIC,'=',64,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
CCOc1cc(-c2nc3ccc(C)cc3[nH]2)ccc1O,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,2h,MIC,'=',64,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
Cc1ccc2nc(-c3ccc(F)cc3)[nH]c2c1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,2i,MIC,'=',64,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
Cc1ccc2nc(-c3ccccc3O)[nH]c2c1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,2j,MIC,'=',128,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
Cc1ccc2nc(-c3cc(Br)ccc3O)[nH]c2c1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,2k,MIC,'=',64,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
Cc1ccc2nc(-c3cccc(O)c3)[nH]c2c1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,2l,MIC,'=',64,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
COc1ccc(-c2nc3ccc(C)cc3[nH]2)cc1O,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,2m,MIC,'=',64,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
COc1cccc(-c2nc3ccc(C)cc3[nH]2)c1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,2n,MIC,'=',128,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
CSc1ccc(-c2nc3ccc(C)cc3[nH]2)cc1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,2o,MIC,'=',32,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
Cc1ccc2nc(-c3cccc([N+](=O)[O-])c3)[nH]c2c1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,2p,MIC,'=',256,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
Cc1ccc2nc(-c3ccc([N+](=O)[O-])cc3)[nH]c2c1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,2q,MIC,'=',64,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True
