record_id,source_pdf,source_page,source_type,extractor,evidence,name_raw,name_std,smiles_raw,smiles_canonical,inchikey,pubchem_cid,cas,formula,mw,iupac_name,target_raw,assay_type_raw,assay_type_std,organism_raw,organism_std,property,value_raw,unit_raw,value_std,unit_std,conversion_note,validation,validation_detail,dup_group,dup_level,is_primary,conflict_group,conflict_flag,needs_review,review_reason,extracted_at
r_7112c447aaaa,acsomega.2c06142.pdf,,text,opsin:text,"ecipitated product.   _4.1.2. Methyl 4-(5,6-Dimethyl-1H-benzimidazol-2-yl)benzoate (_ _**2** )._ 5,6-Dimethylben","Methyl 4-(5,6-Dimethyl-1H-benzimidazol-2-yl)benzoate","Methyl 4-(5,6-Dimethyl-1H-benzimidazol-2-yl)benzoate",CC1=CC2=C(NC(=N2)C2=CC=C(C(=O)OC)C=C2)C=C1C,COC(=O)c1ccc(-c2nc3cc(C)c(C)cc3[nH]2)cc1,OMTKYMSSBBRWRU-UHFFFAOYSA-N,56689258,,C17H16N2O2,280.32,"methyl 4-(5,6-dimethyl-1H-benzimidazol-2-yl)benzoate",,,,,,,,,,,,passed,rdkit canonical,dup_003,2,True,,False,False,,2026-06-26T20:18:09+00:00
r_4ff1ccfc79a5,acsomega.2c06142.pdf,,text,opsin:text,itor each reaction.   _4.1.1. Methyl 4-Formylbenzoate Sodium Metabisulfite Salt Der,Methyl 4-Formylbenzoate,Methyl 4-Formylbenzoate,C(=O)C1=CC=C(C(=O)OC)C=C1,COC(=O)c1ccc(C=O)cc1,FEIOASZZURHTHB-UHFFFAOYSA-N,15294,1571-08-0,C9H8O3,164.16,methyl 4-formylbenzoate,,,,,,,,,,,,passed,rdkit canonical,dup_004,2,True,,False,False,,2026-06-26T20:18:09+00:00
r_97d0c8c95c80,acsomega.2c06142.pdf,,text,opsin:text,thiosemicarbazide triazole,thiosemicarbazide triazole,thiosemicarbazide triazole,N1N=NC=C1.NNC(=S)N,NNC(N)=S.c1c[nH]nn1,FTDKDFMVWMLEPU-UHFFFAOYSA-N,89478092,,C3H8N6S,160.2,aminothiourea;2H-triazole,,,,,,,,,,,,passed,rdkit canonical,,,True,,False,False,,2026-06-26T20:18:09+00:00
r_a286ff4dc2d4,acsomega.2c06142.pdf,,text,opsin:text,"/journal/acsodf**   Article   glutamine (Sigma-Aldrich), and 1% penic",glutamine,glutamine,N[C@@H](CCC(N)=O)C(=O)O,NC(=O)CC[C@H](N)C(=O)O,ZDXPYRJPNDTMRX-VKHMYHEASA-N,5961,56-85-9,C5H10N2O3,146.14,"(2S)-2,5-diamino-5-oxopentanoic acid",,,,,,,,,,,,passed,rdkit canonical,dup_005,2,True,,False,False,,2026-06-26T20:18:09+00:00
r_83fb08ccb03c,acsomega.2c06142.pdf,,text,opsin:text,the aldehyde part of methyl 4-formylbenzoate was treated with sodium metab,formylbenzoate,formylbenzoate,C(=O)OC(C1=CC=CC=C1)=O,O=COC(=O)c1ccccc1,GNNILMDCYQGMRH-UHFFFAOYSA-N,6422010,,C8H6O3,150.13,formyl benzoate,,,,,,,,,,,,passed,rdkit canonical,,,True,,False,False,,2026-06-26T20:18:09+00:00
r_58bbdfb2a9c1,acsomega.2c06142.pdf,,text,opsin:text,", A. M. The reaction of ethyl 2-oxo-2 H-chromene-3-carboxylate with hydrazine hydrate. _Mole",2-oxo-2 H-chromene-3-carboxylate,2-oxo-2 H-chromene-3-carboxylate,O=C1OC2=CC=CC=C2C=C1C(=O)[O-],O=C([O-])c1cc2ccccc2oc1=O,ACMLKANOGIVEPB-UHFFFAOYSA-M,5043508,,C10H5O4-,189.14,2-oxochromene-3-carboxylate,,,,,,,,,,,,passed,rdkit canonical,,,True,,False,False,,2026-06-26T20:18:09+00:00
r_15255cd2c2fd,acsomega.2c06142.pdf,,text,opsin:text,"dge to the 2- position of the benzimidazole ring, were designed and synth",benzimidazole,benzimidazole,N1=CNC2=C1C=CC=C2,c1ccc2[nH]cnc2c1,HYZJCKYKOHLVJF-UHFFFAOYSA-N,5798,51-17-2,C7H6N2,118.14,1H-benzimidazole,,,,,,,,,,,,passed,rdkit canonical,dup_006,2,True,,False,False,,2026-06-26T20:18:09+00:00
r_dfbb01429e29,acsomega.2c06142.pdf,,text,opsin:text,"ted product.   _4.1.2. Methyl 4-(5,6-Dimethyl-1H-benzimidazol-2-yl)benzoate (_ _**2** )._ 5,6-Dimethylben","4-(5,6-Dimethyl-1H-benzimidazol-2-yl)benzoate","4-(5,6-Dimethyl-1H-benzimidazol-2-yl)benzoate",CC1=CC2=C(NC(=N2)C2=CC=C(C(=O)[O-])C=C2)C=C1C,Cc1cc2nc(-c3ccc(C(=O)[O-])cc3)[nH]c2cc1C,NSOUYPDDYKKOFA-UHFFFAOYSA-M,6948979,,C16H13N2O2-,265.29,"4-(5,6-dimethyl-1H-benzimidazol-2-yl)benzoate",,,,,,,,,,,,passed,rdkit canonical,,,True,,False,False,,2026-06-26T20:18:09+00:00
r_3a3d65e25143,acsomega.2c06142.pdf,,text,opsin:text,"e new compounds, which are 2- aminothiadiazole derivatives linked by a pheny",aminothiadiazole,aminothiadiazole,NC=1N=NSC1,Nc1csnn1,CUWHXIJMTMMRTI-UHFFFAOYSA-N,265465,4100-27-0,C2H3N3S,101.13,thiadiazol-4-amine,,,,,,,,,,,,passed,rdkit canonical,,,True,,False,False,,2026-06-26T20:18:09+00:00
r_c34a88baea40,acsomega.2c06142.pdf,,text,opsin:text,"ity.[19]   In this study, new benzimidazole−thiadiazole hybrids 5a−h were designed by",benzimidazole−thiadiazole,benzimidazole−thiadiazole,S1N=NC=C1.N1=CNC2=C1C=CC=C2,c1ccc2[nH]cnc2c1.c1csnn1,ZKISVHYKTXUVPA-UHFFFAOYSA-N,162144348,,C9H8N4S,204.25,1H-benzimidazole;thiadiazole,,,,,,,,,,,,passed,rdkit canonical,dup_007,2,True,,False,False,,2026-06-26T20:18:09+00:00
r_2b8293da5315,acsomega.2c06142.pdf,,text,opsin:text,ies of Some New** − **Benzimidazole Thiadiazole Hybrids**   Ismai,azole,azole,N1C=CC=C1,c1cc[nH]c1,KAESVJOAVNADME-UHFFFAOYSA-N,8027,109-97-7,C4H5N,67.09,1H-pyrrole,,,,,,,,,,,,passed,rdkit canonical,,,True,,False,False,,2026-06-26T20:18:09+00:00
r_133a8f5765af,acsomega.2c06142.pdf,,text,opsin:text,and Anti-HIV Activity of New Naphthalene Derivatives. _Arch. Pharm._ 2,Naphthalene,Naphthalene,C1=CC=CC2=CC=CC=C12,c1ccc2ccccc2c1,UFWIBTONFRDIAS-UHFFFAOYSA-N,931,91-20-3,C10H8,128.17,naphthalene,,,,,,,,,,,,passed,rdkit canonical,,,True,,False,False,,2026-06-26T20:18:09+00:00
r_f3eabc7832e4,acsomega.2c06142.pdf,,text,opsin:text,"nc(II) catalyzed synthesis of 2-(4-methoxyphenyl)-5-(2-pyridyl)-1,3,4-thiadiazole: Characterizations, crystal s","2-(4-methoxyphenyl)-5-(2-pyridyl)-1,3,4-thiadiazole","2-(4-methoxyphenyl)-5-(2-pyridyl)-1,3,4-thiadiazole",COC1=CC=C(C=C1)C=1SC(=NN1)C1=NC=CC=C1,COc1ccc(-c2nnc(-c3ccccn3)s2)cc1,XZJSGNFXMXJUFN-UHFFFAOYSA-N,86174465,,C14H11N3OS,269.32,"2-(4-methoxyphenyl)-5-pyridin-2-yl-1,3,4-thiadiazole",,,,,,,,,,,,passed,rdkit canonical,,,True,,False,False,,2026-06-26T20:18:09+00:00
r_dc929cfbdb29,acsomega.2c06142.pdf,,text,opsin:text,"someric forms.[12][−][15] The 1,3,4-thiadiazole structure is one of the most","1,3,4-thiadiazole","1,3,4-thiadiazole",S1C=NN=C1,c1nncs1,MBIZXFATKUQOOA-UHFFFAOYSA-N,119391,289-06-5,C2H2N2S,86.12,"1,3,4-thiadiazole",,,,,,,,,,,,passed,rdkit canonical,dup_008,2,True,,False,False,,2026-06-26T20:18:09+00:00
r_daf7d30bab6f,acsomega.2c06142.pdf,,text,opsin:text,ethyl-1 _H_ -benzimidazol2-yl)benzene-1-carbohydrazide (3). The pro,benzene,benzene,C1=CC=CC=C1,c1ccccc1,UHOVQNZJYSORNB-UHFFFAOYSA-N,241,71-43-2,C6H6,78.11,benzene,,,,,,,,,,,,passed,rdkit canonical,dup_009,2,True,,False,False,,2026-06-26T20:18:09+00:00
r_62fe3dbcc4ea,acsomega.2c06142.pdf,,text,opsin:text,"e to produce the intermediate dihydroimidazole. Finally, the benzimidazole r",dihydroimidazole,dihydroimidazole,N1CNC=C1,C1=CNCN1,LWTIGYSPAXKMDG-UHFFFAOYSA-N,5232593,6569-26-2,C3H6N2,70.09,"2,3-dihydro-1H-imidazole",,,,,,,,,,,,passed,rdkit canonical,,,True,,False,False,,2026-06-26T20:18:09+00:00
r_d0f5f804f791,acsomega.2c06142.pdf,,text,opsin:text,nd ADME estimation studies of benzimidazole-oxadiazole derivatives as potent antifun,benzimidazole-oxadiazole,benzimidazole-oxadiazole,O1N=NC=C1.N1=CNC2=C1C=CC=C2,c1ccc2[nH]cnc2c1.c1conn1,TXLLLMRSUMGDCA-UHFFFAOYSA-N,68134922,,C9H8N4O,188.19,1H-benzimidazole;oxadiazole,,,,,,,,,,,,passed,rdkit canonical,,,True,,False,False,,2026-06-26T20:18:09+00:00
r_73b9d3334c52,acsomega.2c06142.pdf,,text,opsin:text,"tion of 1 and 4,5-dimethyl-1,2phenylenediamine under reflux, methyl 4-(5,6-d",phenylenediamine,phenylenediamine,C1(=C(C=CC=C1)N)N,Nc1ccccc1N,GEYOCULIXLDCMW-UHFFFAOYSA-N,7243,95-54-5,C6H8N2,108.14,"benzene-1,2-diamine",,,,,,,,,,,,passed,rdkit canonical,dup_010,2,True,,False,False,,2026-06-26T20:18:09+00:00
r_f3ddec434bad,acsomega.2c06142.pdf,,text,opsin:text,"l-2-yl)benzoate (_ _**2** )._ 5,6-Dimethylbenzene-1,2-diamine (0.022 mol) was dissolved in","5,6-Dimethylbenzene-1,2-diamine","5,6-Dimethylbenzene-1,2-diamine",CC1=CC=C(C(=C1C)N)N,Cc1ccc(N)c(N)c1C,MHQULXYNBKWNDF-UHFFFAOYSA-N,521077,41927-01-9,C8H12N2,136.19,"3,4-dimethylbenzene-1,2-diamine",,,,,,,,,,,,passed,rdkit canonical,,,True,,False,False,,2026-06-26T20:18:09+00:00
r_c70794743f5f,acsomega.2c06142.pdf,,text,opsin:text,"d and crystallized.   _4.1.3. 4-(5,6-Dimethyl-1H-benzimidazol-2-yl)benzene-1carbohydrazide (_ _**3** )._ The same vial w","4-(5,6-Dimethyl-1H-benzimidazol-2-yl)benzene-1carbohydrazide","4-(5,6-Dimethyl-1H-benzimidazol-2-yl)benzene-1carbohydrazide",CC1=CC2=C(NC(=N2)C2=CC=C(C=C2)C(=O)NN)C=C1C,Cc1cc2nc(-c3ccc(C(=O)NN)cc3)[nH]c2cc1C,PYAQVFBMMDOKBA-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,passed,rdkit canonical,dup_011,2,True,,False,False,,2026-06-26T20:18:09+00:00
r_279eb7f7b413,acsomega.2c06142.pdf,,text,opsin:text,"ondensation reaction of 1 and 4,5-dimethyl-1,2phenylenediamine under reflux, methyl 4-(5,6-d","4,5-dimethyl-1,2phenylenediamine","4,5-dimethyl-1,2phenylenediamine",CC1=CC(=C(C=C1C)N)N,Cc1cc(N)c(N)cc1C,XSZYBMMYQCYIPC-UHFFFAOYSA-N,76635,3171-45-7,C8H12N2,136.19,"4,5-dimethylbenzene-1,2-diamine",,,,,,,,,,,,passed,rdkit canonical,,,True,,False,False,,2026-06-26T20:18:09+00:00
r_b9850d3b3ede,acsomega.2c06142.pdf,,text,opsin:text,", the aldehyde part of methyl 4-formylbenzoate was treated with sodium metab",4-formylbenzoate,4-formylbenzoate,C(=O)C1=CC=C(C(=O)[O-])C=C1,O=Cc1ccc(C(=O)[O-])cc1,GOUHYARYYWKXHS-UHFFFAOYSA-M,4289537,,C8H5O3-,149.12,4-formylbenzoate,,,,,,,,,,,,passed,rdkit canonical,dup_012,2,True,,False,False,,2026-06-26T20:18:09+00:00
r_035256d1e749,acsomega.2c06142.pdf,,text,opsin:text,"SION**   We synthesized novel benzimidazole−1,3,4-thiadiazole hybrid compounds, and their c","benzimidazole−1,3,4-thiadiazole","benzimidazole−1,3,4-thiadiazole",S1C=NN=C1.N1=CNC2=C1C=CC=C2,c1ccc2[nH]cnc2c1.c1nncs1,GVTAIMKGEPZTAT-UHFFFAOYSA-N,158380664,,C9H8N4S,204.25,"1H-benzimidazole;1,3,4-thiadiazole",,,,,,,,,,,,passed,rdkit canonical,,,True,,False,False,,2026-06-26T20:18:09+00:00
r_3a9fc189ea16,acsomega.2c06142.pdf,,text,opsin:text,"valuation studies of some new 1,3,4-oxadiazole linked benzimidazoles as anti","1,3,4-oxadiazole","1,3,4-oxadiazole",O1C=NN=C1,c1nnco1,FKASFBLJDCHBNZ-UHFFFAOYSA-N,97428,288-99-3,C2H2N2O,70.05,"1,3,4-oxadiazole",,,,,,,,,,,,passed,rdkit canonical,dup_013,2,True,,False,False,,2026-06-26T20:18:09+00:00
r_75591b4758e6,acsomega.2c06142.pdf,,text,opsin:text,"d thermodynamic properties of 1-methyl-2-phenyl benzimidazole. _Spectrochim. Acta, Part A_",1-methyl-2-phenyl benzimidazole,1-methyl-2-phenyl benzimidazole,CN1C(=NC2=C1C=CC=C2)C2=CC=CC=C2,Cn1c(-c2ccccc2)nc2ccccc21,POSRBSJJCMKQNU-UHFFFAOYSA-N,75807,2622-63-1,C14H12N2,208.26,1-methyl-2-phenylbenzimidazole,,,,,,,,,,,,passed,rdkit canonical,,,True,,False,False,,2026-06-26T20:18:09+00:00
r_d86dead1d4f8,acsomega.2c06142.pdf,,text,opsin:text,ities of molecules containing triazole or thiadiazole are very diver,triazole,triazole,N1N=NC=C1,c1c[nH]nn1,QWENRTYMTSOGBR-UHFFFAOYSA-N,67516,288-36-8,C2H3N3,69.07,2H-triazole,,,,,,,,,,,,passed,rdkit canonical,dup_014,2,True,,False,False,,2026-06-26T20:18:09+00:00
r_3f664d7450cb,acsomega.2c06142.pdf,8,table,table,[p8t1] Glidedocking = MM-GBSA_b_ dG Bind,compd,compd,,,,,,,,,,,,,,Ki,MM-GBSA_b_ dG Bind,,,nM,,unverified,name did not resolve,,,True,,False,True,unit standardisation: unparseable value; unresolved name (trade name / abbreviation?),2026-06-26T20:18:09+00:00
r_c62c7f70b2b9,acsomega.2c06142.pdf,8,table,table+openchemie,[p8t1] Glidedocking = −53.72,5a,5a,Cc1cc2nc(-c3ccc(-c4nnc(N)s4)cc3)[nH]c2cc1C,Cc1cc2nc(-c3ccc(-c4nnc(N)s4)cc3)[nH]c2cc1C,AXFMUCBNUOMLEW-UHFFFAOYSA-N,,,,,,,,,,,Ki,−53.72,,53.72,nM,unit missing → assumed nM,passed,rdkit canonical,,,True,,False,True,"structure from OpenChemIE coref (label-matched, verify); value note: unit assumed",2026-06-26T20:18:09+00:00
r_31a3fbd59fe1,acsomega.2c06142.pdf,8,table,table,[p8t1] Glidedocking = −78.24,5b,5b,,,,,,,,,,,,,,Ki,−78.24,,78.24,nM,unit missing → assumed nM,unverified,name did not resolve,,,True,,False,True,value note: unit assumed; compound label '5b' (needs cross-reference to a structure),2026-06-26T20:18:09+00:00
r_6d89b64166c5,acsomega.2c06142.pdf,8,table,table,[p8t1] Glidedocking = −70.73,5c,5c,,,,,,,,,,,,,,Ki,−70.73,,70.73,nM,unit missing → assumed nM,unverified,name did not resolve,,,True,,False,True,value note: unit assumed; compound label '5c' (needs cross-reference to a structure),2026-06-26T20:18:09+00:00
r_0337b347e9d8,acsomega.2c06142.pdf,8,table,table,[p8t1] Glidedocking = −70.74,5d,5d,,,,,,,,,,,,,,Ki,−70.74,,70.74,nM,unit missing → assumed nM,unverified,name did not resolve,,,True,,False,True,value note: unit assumed; compound label '5d' (needs cross-reference to a structure),2026-06-26T20:18:09+00:00
r_ae676d1a8d05,acsomega.2c06142.pdf,8,table,table,[p8t1] Glidedocking = −68.40,5e,5e,,,,,,,,,,,,,,Ki,−68.40,,68.4,nM,unit missing → assumed nM,unverified,name did not resolve,,,True,,False,True,value note: unit assumed; compound label '5e' (needs cross-reference to a structure),2026-06-26T20:18:09+00:00
r_c884a6806601,acsomega.2c06142.pdf,8,table,table,[p8t1] Glidedocking = −60.37,5f,5f,,,,,,,,,,,,,,Ki,−60.37,,60.37,nM,unit missing → assumed nM,unverified,name did not resolve,,,True,,False,True,value note: unit assumed; compound label '5f' (needs cross-reference to a structure),2026-06-26T20:18:09+00:00
r_d7ebae7a032c,acsomega.2c06142.pdf,8,table,table,[p8t1] Glidedocking = −61.19,5g,5g,,,,,,,,,,,,,,Ki,−61.19,,61.19,nM,unit missing → assumed nM,unverified,name did not resolve,,,True,,False,True,value note: unit assumed; compound label '5g' (needs cross-reference to a structure),2026-06-26T20:18:09+00:00
r_91711c5ee68b,acsomega.2c06142.pdf,8,table,table,[p8t1] Glidedocking = −63.29,5h,5h,,,,,,,,,,,,,,Ki,−63.29,,63.29,nM,unit missing → assumed nM,unverified,name did not resolve,,,True,,False,True,value note: unit assumed; compound label '5h' (needs cross-reference to a structure),2026-06-26T20:18:09+00:00
r_f7ada1212ced,acsomega.2c06142.pdf,8,table,table,[p8t1] Glidedocking = −58.87,Vor,Vor,,,,,,,,,,,,,,Ki,−58.87,,58.87,nM,unit missing → assumed nM,unverified,name did not resolve,,,True,,False,True,value note: unit assumed; unresolved name (trade name / abbreviation?),2026-06-26T20:18:09+00:00
r_c0f7b2aedac1,acsomega.2c06142.pdf,8,table,table,[p8t1] Glidedocking = −50.33,Flu,Flu,,,,,,,,,,,,,,Ki,−50.33,,50.33,nM,unit missing → assumed nM,unverified,name did not resolve,,,True,,False,True,value note: unit assumed; unresolved name (trade name / abbreviation?),2026-06-26T20:18:09+00:00
r_5a252fe2b800,antibiotics10081002.pdf,,text,regex,", _B. subtilis_ and _S. aureus_ ) and FabH (with IC50 of 1.22 µM). Ad",,,,,,,,,,,,,,,,IC50,1.22,µM,1220.0,nM,1 µM = 1000 nM,unverified,,,,True,,False,True,measurement without attached compound,2026-06-26T20:19:07+00:00
r_cd2d26f48c87,antibiotics10081002.pdf,,text,regex,"mM, therefore less cytotoxic than 5-fluorouracil (IC50 = 0.051 mM). Ad",83a,83a,,,,,,,,,,,,,,IC50,0.051,mM,51000.0,nM,1 mM = 1e+06 nM,unverified,name did not resolve,,,True,,False,True,compound label '83a' (needs cross-reference to a structure),2026-06-26T20:19:07+00:00
r_9d9f8b91cde6,antibiotics10081002.pdf,,text,regex,st excellent inhibition against tubulin assembly (IC50 = 1.52 µM) and,108,108,,,,,,,,,,,,,,IC50,1.52,µM,1520.0,nM,1 µM = 1000 nM,unverified,name did not resolve,,,True,,False,True,compound label '108' (needs cross-reference to a structure),2026-06-26T20:19:07+00:00
r_72b10a180a1a,antibiotics10081002.pdf,,text,regex,"1] , respectively, compared to ascorbic acid with IC50 = 0.256 µmol mL",,,,,,,,,,,,,,,,IC50,0.256,µm,0.256,nM,,unverified,,,,True,,False,True,measurement without attached compound; unit standardisation: invalid unit: µm,2026-06-26T20:19:07+00:00
r_f7f9b20db6ca,antibiotics10081002.pdf,,text,opsin:text,pyridine pyrimidine,pyridine pyrimidine,pyridine pyrimidine,N1=CN=CC=C1.N1=CC=CC=C1,c1ccncc1.c1cncnc1,OIMWEHOYHJJPJD-UHFFFAOYSA-N,22662564,,C9H9N3,159.19,pyridine;pyrimidine,,,,,,,,,,,,passed,rdkit canonical,dup_015,2,True,,False,False,,2026-06-26T20:19:08+00:00
r_c074b3ec1dd4,antibiotics10081002.pdf,,text,opsin:text,"ome new 4-hetarylpyrazole and furo[2,3-c]pyrazole derivatives. _Eur. J. Med. Ch","furo[2,3-c]pyrazole","furo[2,3-c]pyrazole",N=1NC=C2C1OC=C2,c1cc2c[nH]nc2o1,VGALJTWZFCSONV-UHFFFAOYSA-N,19738210,,C5H4N2O,108.1,"1H-furo[3,2-d]pyrazole",,,,,,,,,,,,passed,rdkit canonical,,,True,,False,False,,2026-06-26T20:19:08+00:00
r_af9c9fa496b4,antibiotics10081002.pdf,,text,opsin:text,pyrazol-1-yl]benzoic Acid and 4-[3-(4-Fluorophenyl)-4-formyl-1H-pyrazol-1-yl]benzoic acid as potent growth inhibitors o,4-[3-(4-Fluorophenyl)-4-formyl-1H-pyrazol-1-yl]benzoic acid,4-[3-(4-Fluorophenyl)-4-formyl-1H-pyrazol-1-yl]benzoic acid,FC1=CC=C(C=C1)C1=NN(C=C1C=O)C1=CC=C(C(=O)O)C=C1,O=Cc1cn(-c2ccc(C(=O)O)cc2)nc1-c1ccc(F)cc1,SJPPBASLHBBMMX-UHFFFAOYSA-N,164672379,,C17H11FN2O3,310.28,4-[3-(4-fluorophenyl)-4-formylpyrazol-1-yl]benzoic acid,,,,,,,,,,,,passed,rdkit canonical,,,True,,False,False,,2026-06-26T20:19:08+00:00
r_1a77de6f300d,antibiotics10081002.pdf,,text,opsin:text,"ty of pyrazolyl benzoxazoles, benzothiazoles and benzimidazoles. _Med. Ch",benzothiazole,benzothiazole,S1C=NC2=C1C=CC=C2,c1ccc2scnc2c1,IOJUPLGTWVMSFF-UHFFFAOYSA-N,7222,95-16-9,C7H5NS,135.19,"1,3-benzothiazole",,,,,,,,,,,,passed,rdkit canonical,dup_016,2,True,,False,False,,2026-06-26T20:19:08+00:00
r_f7806b428f8c,antibiotics10081002.pdf,,text,opsin:text,pyrimidine thiazole,pyrimidine thiazole,pyrimidine thiazole,S1C=NC=C1.N1=CN=CC=C1,c1cncnc1.c1cscn1,UVRHPZOOCXESOY-UHFFFAOYSA-N,66922863,,C7H7N3S,165.22,"pyrimidine;1,3-thiazole",,,,,,,,,,,,passed,rdkit canonical,dup_017,2,True,,False,False,,2026-06-26T20:19:08+00:00
r_d96a86217403,antibiotics10081002.pdf,,text,opsin:text,robial activity of some novel chloromethyl benzimidazole derivatives bearing dithiocar,chloromethyl benzimidazole,chloromethyl benzimidazole,ClCC=1NC2=C(N1)C=CC=C2,ClCc1nc2ccccc2[nH]1,SPMLMLQATWNZEE-UHFFFAOYSA-N,78571,4857-04-9,C8H7ClN2,166.61,2-(chloromethyl)-1H-benzimidazole,,,,,,,,,,,,passed,rdkit canonical,,,True,,False,False,,2026-06-26T20:19:08+00:00
r_f311b2850b86,antibiotics10081002.pdf,,text,opsin:text,*8** synthesized by refluxing 5-pyrazolone **7** with chloroacetyl chlor,5-pyrazolone,5-pyrazolone,N1N=CCC1=O,O=C1CC=NN1,ZRHUHDUEXWHZMA-UHFFFAOYSA-N,316289,137-44-0,C3H4N2O,84.08,"1,4-dihydropyrazol-5-one",,,,,,,,,,,,passed,rdkit canonical,,,True,,False,False,,2026-06-26T20:19:08+00:00
r_67f7ab47f52d,antibiotics10081002.pdf,,text,opsin:text,"imidazoles by bromination of benzimidazolyl chalcone **4** , with the formation of",benzimidazolyl chalcone,benzimidazolyl chalcone,N1=C(NC2=C1C=CC=C2)C2=C(C=CC=C2)\C=C\C(=O)C2=CC=CC=C2,O=C(/C=C/c1ccccc1-c1nc2ccccc2[nH]1)c1ccccc1,CFPSSYWKZLJMAB-CCEZHUSRSA-N,,,,,,,,,,,,,,,,,passed,rdkit canonical,,,True,,False,False,,2026-06-26T20:19:08+00:00
