sn,material,shape,coat_functional_group,synthesis_method,surface_charge,size_in_medium_nm,zeta_in_medium_mv,no_of_cells_cells_well,human_animal,cell_source,cell_tissue,cell_morphology,cell_age,time_hr,concentration,test,test_indicator,viability_%,doi,article_list,core_nm,hydrodynamic_nm,potential_mv,cell_type,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
6102,Au,,PEG,,,,,,A,,,Endothelial,,24,,MTT,,71.33922,10.1002/ppsc.201300357,10,,21.7,-7.6,C17.2,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,True,green,10_soenen2014.pdf,1
6103,Au,,PEG,,,,,,H,Human,Umbilical cord,Endothelial,,24,,MTT,,95.48146,10.1002/ppsc.201300357,10,,21.7,-7.6,HUVEC,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,True,green,10_soenen2014.pdf,1
6104,Au,,PEG,,,,,,H,Human,Umbilical cord,Endothelial,,24,,MTT,,96.98729,10.1002/ppsc.201300357,10,,21.7,-7.6,HUVEC,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,True,green,10_soenen2014.pdf,1
6105,Au,,PEG,,,,,,H,Human,Umbilical cord,Endothelial,,24,,MTT,,94.15328,10.1002/ppsc.201300357,10,,21.7,-7.6,HUVEC,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,True,green,10_soenen2014.pdf,1
6106,Au,,PEG,,,,,,H,Human,Umbilical cord,Endothelial,,24,,MTT,,91.93752,10.1002/ppsc.201300357,10,,21.7,-7.6,HUVEC,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,True,green,10_soenen2014.pdf,1
6107,Au,,PEG,,,,,,H,Human,Umbilical cord,Endothelial,,24,,MTT,,85.69136,10.1002/ppsc.201300357,10,,21.7,-7.6,HUVEC,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,True,green,10_soenen2014.pdf,1
6108,Au,,PEG,,,,,,H,Human,Umbilical cord,Endothelial,,24,,MTT,,72.00394,10.1002/ppsc.201300357,10,,21.7,-7.6,HUVEC,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,True,green,10_soenen2014.pdf,1
6109,Au,,PEG,,,,,,H,Human,Umbilical cord,Endothelial,,24,,MTT,,53.66471,10.1002/ppsc.201300357,10,,21.7,-7.6,HUVEC,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,True,green,10_soenen2014.pdf,1
6110,Au,,PEG,,,,,,A,Rat,,,,24,,MTT,,96.72178,10.1002/ppsc.201300357,10,,21.7,-7.6,PC12,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,True,green,10_soenen2014.pdf,1
6111,Au,,PEG,,,,,,A,Rat,,,,24,,MTT,,96.3684,10.1002/ppsc.201300357,10,,21.7,-7.6,PC12,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,True,green,10_soenen2014.pdf,1
6112,Au,,PEG,,,,,,A,Rat,,,,24,,MTT,,94.15264,10.1002/ppsc.201300357,10,,21.7,-7.6,PC12,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,True,green,10_soenen2014.pdf,1
6113,Au,,PEG,,,,,,A,Rat,,,,24,,MTT,,92.24696,10.1002/ppsc.201300357,10,,21.7,-7.6,PC12,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,True,green,10_soenen2014.pdf,1
6114,Au,,PEG,,,,,,A,Rat,,,,24,,MTT,,95.30382,10.1002/ppsc.201300357,10,,21.7,-7.6,PC12,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,True,green,10_soenen2014.pdf,1
6115,Au,,PEG,,,,,,A,Rat,,,,24,,MTT,,84.09704,10.1002/ppsc.201300357,10,,21.7,-7.6,PC12,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,True,green,10_soenen2014.pdf,1
6116,Au,,PEG,,,,,,A,Rat,,,,24,,MTT,,77.5408,10.1002/ppsc.201300357,10,,21.7,-7.6,PC12,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,True,green,10_soenen2014.pdf,1
